,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
66,Willy Boly\Willy-Boly,DF,Wolves,20.9,1.96,1.24,1.58,0.33,0.05,0.67,1.44,46.7,0.77,7.66,2.63,34.4,5.22,2.15,0.29,1.29,0.62,0,0.67,1.1,3.06,4.98,0
67,Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,28.5,0.81,0.49,0.39,0.28,0.14,0.18,1.09,16.1,0.91,12.8,3.4,26.6,3.16,4.95,4.7,1.37,0.04,0,1.33,0.77,1.58,0.18,0
68,Robbie Brady\Robbie-Brady,MF,Burnley,11.7,1.88,1.03,1.03,0.26,0.6,0.77,2.65,29,1.88,15.5,3.5,22.7,5.3,6.41,3.76,2.14,0.17,0,1.97,0.77,2.65,2.05,0.09
69,Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,12.5,1.12,0.64,0.08,0.56,0.48,0,0.96,0,0.96,19,4.88,25.6,1.04,9.36,8.64,1.28,0.24,0,1.04,0.48,1.6,0.24,0
70,Nathan Broadhead\Nathan-Broadhead,MF,Everton,0,1,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
71,Josh Brownhill\Josh-Brownhill,MF,Burnley,31.3,1.63,0.89,0.35,1.02,0.26,0.32,1.41,22.7,1.09,15.7,3.99,25.5,3.29,8.34,4.03,1.88,0.38,0.03,1.5,1.69,3.32,1.79,0
72,Joe Bryan\Joe-Bryan,DFFW,Fulham,7.4,2.57,1.62,0.95,0.95,0.68,1.22,2.43,50,1.22,13.1,4.46,34,4.86,5,3.24,2.84,0.41,0,2.43,1.76,4.32,2.57,0
73,Kean Bryan\Kean-Bryan,DF,Sheffield Utd,11.2,2.14,1.34,1.16,0.89,0.09,0.8,1.34,60,0.54,13.4,3.93,29.3,7.23,5.18,0.98,2.32,0.98,0,1.34,2.5,4.64,6.25,0.27
74,Oliver Burke\Oliver-Burke,FW,Sheffield Utd,14.1,1.28,0.71,0.43,0.64,0.21,0.35,1.99,17.9,1.63,29.4,5.39,18.3,2.48,13.3,13.6,1.49,0,0,1.49,0.14,1.42,0.28,0
75,Dan Burn\Dan-Burn,DF,Brighton,22.9,2.05,0.96,1.35,0.57,0.13,0.92,2.36,38.9,1.44,13.5,4.5,33.2,6.38,4.98,2.18,1.7,0.31,0.04,1.4,1.62,3.67,4.15,0
