,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
354,Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,2,1.5,0.5,0.5,0.5,0.5,0,1,0,1,5,2,40,2.5,1,1.5,3,1.5,0,1.5,0,1.5,5.5,0
355,Dara O'Shea\Dara-OShea,DF,West Brom,23.4,2.18,1.28,1.41,0.64,0.13,0.68,1.92,35.6,1.24,10.8,3.76,34.9,6.71,3.42,0.64,2.26,0.85,0.04,1.41,1.67,3.85,6.11,0
356,Michael Obafemi\Michael-Obafemi,FW,Southampton,0.7,1.43,1.43,1.43,0,0,0,0,,0,31.4,8.57,27.3,11.4,10,10,1.43,0,0,1.43,1.43,2.86,0,0
357,Denis Odoi\Denis-Odoi,DF,Fulham,3,1,0,0.67,0.33,0,0.33,1.33,25,1,7.67,1,13,3.67,2.67,1.33,2,0.33,0,1.67,0.33,1.33,3.67,0
358,Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,27.7,0.97,0.72,0.79,0.11,0.07,0.14,0.61,23.5,0.47,7.87,3.1,39.4,4.8,2.71,0.36,1.48,0.54,0,0.94,0.97,1.95,6.03,0
359,Robin Olsen\Robin-Olsen,GK,Everton,7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.29,0
360,Josh Onomah\Josh-Onomah,MF,Fulham,4.2,2.38,1.19,0.24,1.43,0.71,0,1.67,0,1.67,21.7,5.24,24.2,3.81,11.4,6.43,0.95,0.48,0,0.48,0.71,3.1,0.95,0
361,Divock Origi\Divock-Origi,FW,Liverpool,2.1,2.38,1.9,0.48,1.43,0.48,0.48,0.48,100,0,21,7.62,36.4,1.43,6.67,12.9,1.9,0.48,0,1.43,0.48,2.86,0.95,0
362,Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,17.8,1.63,0.9,0.96,0.45,0.22,0.62,2.64,23.4,2.02,22.1,4.89,22.1,6.91,9.33,5.9,1.63,0.17,0,1.46,0.9,2.53,0.9,0
363,Owen Otasowie\Owen-Otasowie,MFFW,Wolves,2.1,3.33,2.38,1.43,1.9,0,0,0.48,0,0.48,16.7,8.57,51.4,3.81,10.5,2.38,1.43,0.48,0,0.95,1.43,4.76,0.95,0
364,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,FWMF,Liverpool,2.8,0.71,0.36,0,0.71,0,0,2.5,0,2.5,17.5,4.64,26.5,1.43,9.29,6.79,1.07,0,0,1.07,0.36,1.07,0.36,0
365,Emerson Palmieri\Emerson-Palmieri,DF,Chelsea,1,3,2,1,1,1,1,3,33.3,2,14,3,21.4,6,3,5,2,0,0,2,1,4,10,0
366,Thomas Partey\Thomas-Partey,MF,Arsenal,17,2.76,1.76,1.24,1.29,0.24,1.06,2.76,38.3,1.71,16.2,5.59,34.4,6.53,7.18,2.53,1.71,0.29,0,1.41,1.53,4.29,1.47,0
367,Rui Patrício\Rui-Patricio,GK,Wolves,37,0,0,0,0,0,0,0.03,0,0.03,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0.03,0
368,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,GK,Burnley,4,0,0,0,0,0,0,0.5,0,0.5,0.25,0.25,100,0.25,0,0,0,0,0,0,0,0,0,0
369,Lee Peltier\Lee-Peltier,DF,West Brom,2.5,4,2.8,3.6,0.4,0,1.2,1.2,100,0,12.8,4.8,37.5,6,5.6,1.2,0.8,0,0,0.8,0.8,4.8,4.8,0
370,Nicolas Pépé\Nicolas-Pepe,FW,Arsenal,18,1.11,0.89,0.44,0.56,0.11,0.44,1.33,33.3,0.89,13,3.33,25.6,2.56,4.5,5.94,1.39,0.11,0,1.28,1,2.11,0.72,0.06
371,Matheus Pereira\Matheus-Pereira,MFFW,West Brom,28.6,1.15,0.7,0.49,0.45,0.21,0.35,1.61,21.7,1.26,16,4.06,25.3,3.71,7.87,4.48,1.05,0,0,1.05,1.01,2.17,0.63,0
372,Ricardo Pereira\Ricardo-Pereira,DF,Leicester City,10.7,3.46,1.68,1.87,1.21,0.37,1.12,2.9,38.7,1.78,18.8,6.45,34.3,8.13,7.01,3.64,2.62,0,0,2.62,1.5,4.95,2.43,0
373,Ayoze Pérez\Ayoze-Perez,MFFW,Leicester City,14.8,2.16,1.01,0.54,1.22,0.41,0.61,2.7,22.5,2.09,23.2,6.15,26.5,4.39,11.8,6.96,2.09,0.07,0,2.03,1.28,3.45,0.41,0
374,Kalvin Phillips\Kalvin-Phillips,MF,Leeds United,27,2.74,1.63,1.59,0.93,0.22,0.89,3,29.6,2.11,23.6,7.11,30.1,9.44,11.7,2.48,2.26,0.56,0,1.7,1.81,4.56,2.19,0.04
375,Matt Phillips\Matt-Phillips,MFFW,West Brom,20.3,1.03,0.69,0.25,0.54,0.25,0.34,1.53,22.6,1.18,15,3.55,23.7,4.29,6.35,4.33,2.36,0.3,0.05,2.07,0.94,1.97,1.13,0
376,Nathaniel Phillips\Nathaniel-Phillips,DF,Liverpool,16.2,1.11,0.74,0.8,0.31,0,0.25,1.42,17.4,1.17,11.9,4.26,35.8,5.49,5.93,0.49,1.42,0.99,0.12,0.43,1.79,2.9,8.83,0
377,Jaden Philogene Bidace\Jaden-Philogene-Bidace,FW,Aston Villa,0,0,0,0,0,0,0,0,,0,2,2,100,1,0,1,0,0,0,0,1,1,1,0
378,Jordan Pickford\Jordan-Pickford,GK,Everton,30.5,0,0,0,0,0,0,0.03,0,0.03,0.3,0.1,33.3,0.3,0,0,0.07,0,0,0.07,0,0,0.1,0.07
379,Erik Pieters\Erik-Pieters,DFMF,Burnley,14.1,2.84,1.91,1.63,0.99,0.21,1.35,2.98,45.2,1.63,15.1,3.9,25.8,6.74,6.45,1.91,3.12,0.64,0.07,2.48,0.71,3.55,2.98,0
380,Daniel Podence\Daniel-Podence,MFFW,Wolves,18.5,0.97,0.38,0.27,0.43,0.27,0.32,1.24,26.1,0.92,13.1,3.57,27.2,3.51,5.68,3.95,0.38,0.05,0,0.32,0.81,1.78,0.32,0
381,Paul Pogba\Paul-Pogba,MFFW,Manchester Utd,21.1,1.75,1.23,0.71,0.85,0.19,0.62,1.66,37.1,1.04,14.2,4.69,33.1,4.17,6.11,3.89,1.04,0.05,0,1,1.18,2.94,2.23,0
382,Nick Pope\Nick-Pope,GK,Burnley,32,0,0,0,0,0,0,0.03,0,0.03,0.22,0.06,28.6,0.22,0,0,0,0,0,0,0.03,0.03,0.09,0.03
383,Dennis Praet\Dennis-Praet,MFFW,Leicester City,8,1.5,0.88,0.63,0.75,0.13,0.75,1.75,42.9,1,16.5,4,24.2,4.5,8,4,1.75,0.25,0,1.5,1.13,2.63,0.38,0
384,Davy Pröpper\Davy-Propper,MF,Brighton,2.4,2.92,2.08,0,2.92,0,0.83,2.08,40,1.25,12.5,5.42,43.3,5.42,6.25,0.83,0.83,0,0,0.83,0.83,3.75,0,0
385,Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,19.3,1.3,0.88,0.57,0.57,0.16,0.31,1.09,28.6,0.78,17.4,5.65,32.4,3.58,7.72,6.11,1.61,0.16,0,1.45,0.47,1.76,0.47,0
386,Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,38,0,0,0,0,0,0,0,,0,0.21,0.08,37.5,0.18,0,0.03,0,0,0,0,0,0,0.03,0.08
387,Jacob Ramsey\Jacob-Ramsey,MF,Aston Villa,7,1.57,1,0.57,0.86,0.14,0,1.71,0,1.71,28.4,8.57,30.2,11.1,11.9,5.43,2.43,0.86,0,1.57,0.86,2.43,1.29,0
388,Kayne Ramsey\Kayne-Ramsey,DF,Southampton,1,5,3,4,1,0,3,3,100,0,8,5,62.5,7,1,0,1,1,0,0,1,6,4,0
389,Darren Randolph\Darren-Randolph,GK,West Ham,3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
390,Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,32.4,0.49,0.31,0.06,0.19,0.25,0.15,0.74,20.8,0.59,10.6,2.28,21.4,1.17,4.44,5.03,0.74,0.09,0,0.65,0.31,0.8,0.28,0
391,Tim Ream\Tim-Ream,DF,Fulham,7,1.43,0.57,1.14,0.29,0,0.71,1.14,62.5,0.43,5.29,1.43,27,2.29,2.86,0.14,2,0.86,0,1.14,0.57,2,4.43,0.14
392,Nathan Redmond\Nathan-Redmond,MFFW,Southampton,19.3,1.66,0.88,0.73,0.67,0.26,0.41,1.04,40,0.62,19.6,5.49,28,4.97,8.13,6.48,1.5,0.1,0,1.4,0.93,2.59,0.57,0
393,Harrison Reed\Harrison-Reed,MF,Fulham,25,2.72,1.68,1.16,1.44,0.12,1,3.36,29.8,2.36,21,6.4,30.5,9.28,9.84,1.88,1.88,0.48,0,1.4,2.08,4.8,2.32,0
394,Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,24.9,2.05,1.08,1.24,0.52,0.28,0.72,1.73,41.9,1,15.6,4.5,28.9,7.11,5.66,2.81,2.13,0.28,0,1.85,1.41,3.45,2.57,0
395,Bobby Reid\Bobby-Reid,MFDF,Fulham,26.4,1.21,0.76,0.57,0.38,0.27,0.38,1.25,30.3,0.87,15.6,4.02,25.8,4.62,6.02,4.92,1.4,0.23,0,1.17,0.64,1.86,1.55,0
396,Declan Rice\Declan-Rice,MF,West Ham,32,2.41,1.66,1.41,0.97,0.03,0.75,1.72,43.6,0.97,15.5,4.66,30.1,6.63,7.69,1.16,1.69,0.41,0,1.28,2.13,4.53,1.44,0.03
397,Lewis Richardson\Lewis-Richardson,FWMF,Burnley,0,0,0,0,0,0,0,1,0,1,3,2,66.7,0,2,1,0,0,0,0,0,0,0,0
398,Richarlison\Richarlison,FW,Everton,31.8,1.54,0.94,0.85,0.57,0.13,0.41,1.32,31,0.91,18.1,4.5,24.9,4.09,7.55,6.42,1.04,0.09,0,0.94,0.63,2.17,1.19,0
399,Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,20.2,1.63,1.04,0.74,0.74,0.15,0.64,1.83,35.1,1.19,14.7,4.21,28.6,5.64,7.33,1.73,2.28,0.35,0,1.93,1.19,2.82,1.44,0
400,Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,15,1.13,0.6,0.47,0.33,0.33,0.33,1.4,23.8,1.07,10.1,2.13,21.1,4.73,3.53,1.87,2.07,0.13,0,1.93,1.53,2.67,2.87,0
401,Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,14.9,1.21,0.54,0.27,0.67,0.27,0.27,1.41,19,1.14,17.5,4.3,24.5,2.82,8.99,5.7,1.34,0.2,0,1.14,0.6,1.81,0.94,0.07
402,Andrew Robertson\Andrew-Robertson,DF,Liverpool,37.6,1.41,0.74,0.8,0.43,0.19,0.82,1.7,48.4,0.88,9.39,3.19,34,3.11,3.38,2.9,1.65,0.27,0.03,1.38,0.9,2.31,2.42,0.03
403,Antonee Robinson\Antonee-Robinson,DF,Fulham,24,2,1.13,1.08,0.63,0.29,0.79,1.75,45.2,0.96,10.4,3.5,33.7,5,2.96,2.42,2.17,0.21,0,1.96,1.83,3.83,3.46,0
404,Callum Robinson\Callum-Robinson,FWMF,West Brom,17.3,0.81,0.4,0.46,0.23,0.12,0.29,1.04,27.8,0.75,15,3.53,23.6,2.6,5.26,7.11,0.92,0,0,0.92,0.81,1.62,0.52,0
405,Jack Robinson\Jack-Robinson,DF,Sheffield Utd,9.7,1.65,1.03,1.03,0.52,0.1,0.62,0.72,85.7,0.1,8.14,2.58,31.6,4.12,2.89,1.13,1.24,0.52,0,0.72,1.75,3.4,6.19,0
406,Hal Robson-Kanu\Hal-Robson-Kanu,FW,West Brom,6.2,0.48,0.48,0.16,0.16,0.16,0,0,,0,14,2.26,16.1,1.29,6.61,6.13,0.81,0,0,0.81,0.65,1.13,0.65,0
407,Marek Rodák\Marek-Rodak,GK,Fulham,2,0,0,0,0,0,0,0.5,0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0
408,Joe Rodon\Joe-Rodon,DF,Tottenham,8.1,1.85,1.11,1.48,0.37,0,0.49,0.62,80,0.12,9.63,2.47,25.6,6.79,2.47,0.37,1.85,1.11,0,0.74,1.6,3.46,6.3,0.12
409,Rodri\Rodri,MF,Manchester City,30.5,2.72,1.97,1.05,1.25,0.43,1.02,2.36,43.1,1.34,16.9,6.43,38.1,5.54,8.92,2.39,1.38,0.43,0,0.95,1.31,4.03,2.39,0.07
410,Rodrigo\Rodrigo,MFFW,Leeds United,14.3,1.4,0.91,0.77,0.35,0.28,0.14,1.54,9.1,1.4,18.1,4.62,25.5,3.29,8.67,6.15,0.63,0,0,0.63,0.63,2.03,1.12,0
411,James Rodríguez\James-Rodriguez,FWMF,Everton,19.6,1.02,0.71,0.26,0.61,0.15,0.41,2.19,18.6,1.79,12.8,3.11,24.4,3.83,6.02,2.91,1.22,0,0,1.22,0.82,1.84,0.05,0
412,Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,14.1,1.99,0.99,0.57,0.78,0.64,0.43,1.35,31.6,0.92,21.8,4.75,21.8,3.19,9.5,9.15,1.91,0.35,0,1.56,0.28,2.27,0.43,0
413,Oriol Romeu\Oriol-Romeu,MF,Southampton,19.6,3.47,1.79,1.38,1.89,0.2,1.12,3.32,33.8,2.19,17.6,5.31,30.2,6.58,9.69,1.28,1.63,0.31,0,1.33,1.38,4.85,0.97,0
414,John Ruddy\John-Ruddy,GK,Wolves,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
415,Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,19,1.58,0.95,0.84,0.58,0.16,0.63,0.95,66.7,0.32,8.74,3.47,39.8,4.74,3.32,0.68,1.11,0.58,0,0.53,0.79,2.37,4.68,0
416,Mathew Ryan\Mathew-Ryan,GK,Brighton,11,0,0,0,0,0,0,0,,0,0.18,0,0,0.18,0,0,0,0,0,0,0,0,0.09,0
417,Mathew Ryan\Mathew-Ryan,GK,Arsenal,3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
418,Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,17.3,0.87,0.64,0.29,0.52,0.06,0.06,0.46,12.5,0.4,12.2,3.01,24.6,2.25,6.65,3.29,0.75,0.06,0,0.69,0.52,1.39,0,0
419,Romain Saïss\Romain-Saiss,DF,Wolves,26.7,1.39,0.67,0.94,0.45,0,0.26,0.82,31.8,0.56,9.7,2.92,30.1,6.25,3.26,0.19,1.61,0.6,0.11,1.01,1.46,2.85,6.18,0.07
420,Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,28.4,1.2,0.67,0.46,0.56,0.18,0.14,1.06,13.3,0.92,13.9,3.91,28.2,3.42,5.7,4.75,1.41,0.07,0,1.34,0.95,2.15,1.13,0
421,Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,3.1,1.29,0.65,0.32,0.97,0,0.97,0.97,100,0,4.52,1.94,42.9,2.58,1.94,0,0.97,0.65,0,0.32,0,1.29,4.52,0.32
422,Mohamed Salah\Mohamed-Salah,FW,Liverpool,34.2,0.76,0.38,0.18,0.2,0.38,0.18,0.47,37.5,0.29,16.2,4.47,27.7,1.32,4.82,10,0.41,0.03,0,0.38,0.26,1.02,0.32,0.03
423,Mohammed Salisu\Mohammed-Salisu,DF,Southampton,9.4,3.4,2.02,2.34,0.96,0.11,1.38,2.87,48.1,1.49,15.9,6.49,40.9,7.98,6.7,1.17,2.66,0.53,0,2.13,2.77,6.17,4.04,0
424,Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,16.5,2.42,1.52,1.88,0.55,0,1.15,1.82,63.3,0.67,9.39,2.97,31.6,6.3,2.67,0.42,1.15,0.73,0,0.42,0.85,3.27,7.45,0
425,Robert Sánchez\Robert-Sanchez,GK,Brighton,27,0,0,0,0,0,0,0,,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0,0
426,Morgan Sanson\Morgan-Sanson,MF,Aston Villa,3.3,1.82,1.52,1.52,0.3,0,0,1.52,0,1.52,31.2,10.3,33,9.09,14.5,7.58,1.21,0,0,1.21,2.12,3.94,1.21,0
427,Romaine Sawyers\Romaine-Sawyers,MF,West Brom,16.5,1.88,1.15,1.27,0.55,0.06,0.61,2.18,27.8,1.58,20.1,4.91,24.4,10,8.67,1.45,1.09,0.12,0,0.97,1.33,3.21,0.91,0.06
428,Dane Scarlett\Dane-Scarlett,FW,Tottenham,0,0,0,0,0,0,0,0,,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0
429,Fabian Schär\Fabian-Schar,DF,Newcastle Utd,13.8,1.38,0.65,1.01,0.36,0,0.51,1.59,31.8,1.09,7.97,2.39,30,4.71,2.97,0.29,1.74,0.94,0,0.8,1.59,2.97,4.57,0.07
430,Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,15.9,2.33,1.26,1.07,0.82,0.44,0.5,1.51,33.3,1.01,15.5,4.28,27.5,5.47,7.17,2.89,2.2,0.5,0,1.7,1.32,3.65,0.94,0.06
431,Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,38,0,0,0,0,0,0,0,,0,0.13,0,0,0.13,0,0,0,0,0,0,0,0,0,0
432,Nélson Semedo\Nelson-Semedo,DF,Wolves,33.1,2.57,1.6,1.66,0.57,0.33,1.18,2.11,55.7,0.94,16.7,4.95,29.7,8.19,5.59,2.9,1.63,0.36,0,1.27,1.36,3.93,2.69,0
433,Femi Seriki\Femi-Seriki,DF,Sheffield Utd,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
434,Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,5.1,1.57,0.98,0.78,0.78,0,0.2,1.57,12.5,1.37,14.5,3.53,24.3,4.12,7.25,3.14,1.37,0.2,0,1.18,1.18,2.75,0.98,0
435,Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,6.2,0.97,0.65,0.65,0.16,0.16,0.32,0.97,33.3,0.65,16.1,5.32,33,3.55,5.81,6.77,1.29,0,0,1.29,0.65,1.61,0.16,0
436,Billy Sharp\Billy-Sharp,FW,Sheffield Utd,8.2,0.85,0.61,0,0.61,0.24,0.37,1.22,30,0.85,17.7,4.15,23.4,1.59,7.68,8.41,0.24,0,0,0.24,0.37,1.22,0.12,0
437,Luke Shaw\Luke-Shaw,DF,Manchester Utd,29.5,2.07,1.49,0.98,0.75,0.34,0.81,1.42,57.1,0.61,12.3,4.68,38,4.37,5.12,2.81,2.1,0.34,0,1.76,0.98,3.05,1.83,0.07
438,Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,29.1,1.65,0.86,0.89,0.62,0.14,0.41,1.75,23.5,1.34,13.3,2.61,19.6,5.67,5.84,1.79,1.2,0.41,0.03,0.79,1.48,3.13,2.3,0
439,Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,0.1,0,0,0,0,0,0,0,,0,110,30,27.3,30,60,20,0,0,0,0,0,0,0,0
440,Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,25,1.4,0.84,0.4,0.72,0.28,0.44,1.56,28.2,1.12,19,4.56,23.9,4.8,9.76,4.48,1.92,0.16,0,1.76,1.24,2.64,0.84,0
441,Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,22.9,1.4,0.92,0.52,0.61,0.26,0.48,1.97,24.4,1.48,16.4,4.85,29.6,3.1,7.6,5.68,0.87,0.04,0,0.83,0.92,2.31,0.39,0
442,Fábio Silva\Fabio-Silva,FW,Wolves,15.2,0.66,0.39,0.13,0.33,0.2,0.2,0.72,27.3,0.53,17.2,4.61,26.8,1.97,8.16,7.04,0.79,0.07,0,0.72,0.33,0.99,0.33,0
443,Thiago Silva\Thiago-Silva,DF,Chelsea,21.5,1.07,0.6,0.74,0.28,0.05,0.42,0.84,50,0.42,4.74,1.81,38.2,2.19,2.37,0.19,1.21,0.6,0.05,0.6,1.3,2.37,5.3,0.05
444,Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,17.6,1.42,1.14,1.19,0.17,0.06,0.4,1.19,33.3,0.8,13.7,4.26,31,7.67,4.77,1.31,1.53,0.28,0,1.25,0.91,2.33,1.82,0
445,Islam Slimani\Islam-Slimani,FW,Leicester City,0.2,0,0,0,0,0,0,0,,0,25,10,40,0,15,10,0,0,0,0,0,0,0,0
446,William Smallbone\William-Smallbone,MF,Southampton,1.9,3.16,2.11,1.05,1.58,0.53,0.53,2.11,25,1.58,22.6,9.47,41.9,4.74,11.1,6.84,2.63,0,0,2.63,0.53,3.68,1.05,0
447,Emile Smith-Rowe\Emile-Smith-Rowe,MFFW,Arsenal,16,0.88,0.5,0.44,0.31,0.13,0.44,1,43.8,0.56,15.1,3.88,25.7,3.31,6.38,5.38,1.06,0.06,0,1,0.88,1.75,0.94,0
448,Robert Snodgrass\Robert-Snodgrass,FWDF,West Ham,0.1,10,10,0,0,10,0,0,,0,0,0,,0,0,0,0,0,0,0,0,10,0,0
449,Robert Snodgrass\Robert-Snodgrass,MFFW,West Brom,5.8,3.45,2.07,2.24,0.86,0.34,1.38,3.1,44.4,1.72,14.8,4.31,29.1,5.86,5.86,3.1,2.24,0.52,0,1.72,0.69,4.14,2.07,0
450,Cédric Soares\Cedric-Soares,DF,Arsenal,8.3,1.93,1.2,1.08,0.6,0.24,0.72,2.65,27.3,1.93,14,4.22,30.2,6.27,5.18,2.53,1.69,0.24,0,1.45,0.96,2.89,2.53,0
451,Tomáš Souček\Tomas-Soucek,MF,West Ham,38,2.18,1.32,1.08,0.89,0.21,0.66,2.26,29.1,1.61,15.9,4.29,27,5.82,7.66,2.39,1.47,0.55,0,0.92,1.45,3.63,3.82,0.03
452,Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,20.2,1.53,0.79,0.69,0.84,0,0.5,1.53,32.3,1.04,8.22,2.72,33.1,4.6,3.17,0.45,1.09,0.5,0,0.59,1.34,2.87,5.4,0.1
453,Zack Steffen\Zack-Steffen,GK,Manchester City,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
454,Dale Stephens\Dale-Stephens,MF,Burnley,2.9,3.45,1.38,1.03,1.72,0.69,1.72,2.76,62.5,1.03,16.6,5.17,31.3,5.17,9.31,2.07,1.03,0,0,1.03,1.03,4.48,0,0
455,Jack Stephens\Jack-Stephens,DF,Southampton,17.1,2.16,1.11,1.29,0.82,0.06,0.99,2.22,44.7,1.23,9.88,3.39,34.3,5.56,3.8,0.53,2.4,0.76,0,1.64,1.46,3.63,4.91,0.06
456,Raheem Sterling\Raheem-Sterling,FW,Manchester City,28.2,0.71,0.64,0.14,0.46,0.11,0.21,0.67,31.6,0.46,10.2,2.94,28.8,1.31,4.82,4.08,0.6,0.04,0,0.57,0.5,1.21,0.07,0
457,Enda Stevens\Enda-Stevens,DF,Sheffield Utd,30,1.77,0.77,0.97,0.6,0.2,0.7,1.93,36.2,1.23,13.9,3.07,22.1,6.5,5.13,2.27,2,0.47,0.03,1.53,1.57,3.33,3.17,0.07
458,John Stones\John-Stones,DF,Manchester City,21.5,0.93,0.56,0.6,0.23,0.09,0.33,0.65,50,0.33,6.05,2.37,39.2,3.12,2.51,0.42,1.44,0.65,0,0.79,0.93,1.86,3.58,0
459,Pascal Struijk\Pascal-Struijk,DFMF,Leeds United,23.1,2.42,1.26,1.6,0.78,0.04,0.61,1.26,48.3,0.65,16.5,5.11,30.9,8.83,6.71,1,2.25,1,0,1.26,1.77,4.2,4.42,0.04
460,Japhet Tanganga\Japhet-Tanganga,DF,Tottenham,5.4,0.74,0.74,0.74,0,0,0.19,0.56,33.3,0.37,14.1,4.07,28.9,7.41,4.44,2.22,1.67,0.74,0,0.93,0.37,1.11,3.52,0
461,Matt Targett\Matt-Targett,DF,Aston Villa,37.8,2.57,1.51,1.35,0.79,0.42,1.38,2.59,53.1,1.22,11.2,3.47,30.8,5.79,3.6,1.85,2.14,0.48,0,1.67,1.24,3.81,3.33,0.03
462,James Tarkowski\James-Tarkowski,DF,Burnley,36,2.06,1.17,1.67,0.28,0.11,0.83,1.5,55.6,0.67,7,2.89,41.3,4.83,1.89,0.28,1.94,1.28,0.06,0.67,1.58,3.64,6.56,0.03
463,Percy Tau\Percy-Tau,FWMF,Brighton,1.1,0.91,0,0.91,0,0,0.91,1.82,50,0.91,27.3,2.73,10,8.18,10,9.09,1.82,0,0,1.82,0,0.91,0,0
464,Sidnei Tavares\Sidnei-Tavares,MF,Leicester City,0.9,0,0,0,0,0,0,0,,0,21.1,7.78,36.8,8.89,10,2.22,1.11,1.11,0,0,1.11,1.11,0,0
465,Charlie Taylor\Charlie-Taylor,DF,Burnley,27,1.7,0.93,0.93,0.48,0.3,0.81,1.78,45.8,0.96,8.37,2.63,31.4,3.56,3.56,1.26,2.48,0.7,0,1.78,1.04,2.74,3.56,0.04
466,Neil Taylor\Neil-Taylor,DF,Aston Villa,0.2,5,0,5,0,0,0,0,,0,20,0,0,15,0,5,0,0,0,0,0,5,0,0
467,Allan Tchaptchet\Allan-Tchaptchet,DF,Southampton,0.1,0,0,0,0,0,0,0,,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0
468,Nathan Tella\Nathan-Tella,FWMF,Southampton,8.3,1.45,0.96,0.12,0.6,0.72,0.6,1.81,33.3,1.2,26.7,6.75,25.2,3.86,12.9,10,1.57,0,0,1.57,1.08,2.53,0.6,0
469,Alex Telles\Alex-Telles,DF,Manchester Utd,7.7,1.56,0.78,1.3,0.26,0,0.65,1.82,35.7,1.17,8.83,2.86,32.4,4.94,2.6,1.3,1.43,0.13,0,1.3,1.56,3.12,3.51,0
470,Kenny Tete\Kenny-Tete,DF,Fulham,16.5,3.52,1.76,2,1.09,0.42,0.91,1.58,57.7,0.67,15.2,4.79,31.6,7.33,5.39,2.42,1.82,0.3,0,1.52,1.76,5.27,3.7,0
471,William Thomas Fish\William-Thomas-Fish,DF,Manchester Utd,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
472,Luke Thomas\Luke-Thomas,DF,Leicester City,10.8,2.13,0.74,1.02,0.37,0.74,0.56,1.2,46.2,0.65,18,5.46,30.4,6.94,7.41,3.61,2.59,0.28,0,2.31,1.48,3.61,2.41,0
473,Youri Tielemans\Youri-Tielemans,MF,Leicester City,37.3,2.06,1.5,0.83,0.8,0.43,0.72,2.55,28.4,1.82,13.5,4.88,36,4.34,6.57,2.63,1.53,0.29,0,1.23,0.97,3.03,0.78,0
474,Kieran Tierney\Kieran-Tierney,DF,Arsenal,25.5,1.14,0.67,0.31,0.51,0.31,0.35,1.1,32.1,0.75,7.73,2.55,33,2.71,3.14,1.88,1.96,0.43,0,1.53,0.78,1.92,3.02,0
475,James Tomkins\James-Tomkins,DF,Crystal Palace,6.1,0.98,0.66,0.66,0.33,0,0.82,0.98,83.3,0.16,6.39,1.8,28.2,4.92,1.48,0,1.31,0.49,0,0.82,0.82,1.8,8.52,0
476,Fikayo Tomori\Fikayo-Tomori,DF,Chelsea,0.5,6,4,2,4,0,4,4,100,0,6,2,33.3,6,0,0,8,6,0,2,2,8,16,0
