id,isResult,side,h/id,h/title,h/short_title,a/id,a/title,a/short_title,goals/h,goals/a,xG/h,xG/a,datetime,forecast/w,forecast/d,forecast/l,result
9370,true,h,88,Manchester City,MCI,78,Crystal Palace,CRY,2,3,1.27118,1.14609,2018-12-22 15:00:00,0.39283653701650645,0.2747796645910395,0.33238379838191284,l
9382,true,a,75,Leicester,LEI,88,Manchester City,MCI,2,1,1.55714,1.34781,2018-12-26 15:00:00,0.42361042382172187,0.24601831816651099,0.3303712578558081,l
9389,true,a,74,Southampton,SOU,88,Manchester City,MCI,1,3,0.221381,2.96802,2018-12-30 14:15:00,0.013805140829579518,0.07305005082628381,0.9131442203640581,w
9400,true,h,88,Manchester City,MCI,87,Liverpool,LIV,2,1,1.00357,1.3801,2019-01-03 20:00:00,0.27319365379182386,0.2715778463674039,0.4552284998140485,w
9409,true,h,88,Manchester City,MCI,229,Wolverhampton Wanderers,WOL,3,0,3.11947,0.0985446,2019-01-14 20:00:00,0.9418732542880184,0.05332007312980552,0.004805594340077243,w
9423,true,a,219,Huddersfield,HUD,88,Manchester City,MCI,0,3,0.764264,2.01376,2019-01-20 13:30:00,0.1322925213998652,0.2015787693429227,0.6661287050211844,w
9434,true,a,86,Newcastle United,NEW,88,Manchester City,MCI,2,1,0.992326,1.33896,2019-01-29 20:00:00,0.27730601925279436,0.27605248366561597,0.4466414970638924,l
9439,true,h,88,Manchester City,MCI,83,Arsenal,ARS,3,1,3.03102,0.703542,2019-02-03 16:30:00,0.8341847584233757,0.10933442428486827,0.05648005719000544,w
9461,true,a,72,Everton,EVE,88,Manchester City,MCI,0,2,0.111559,2.60922,2019-02-06 19:45:00,0.008932709879962418,0.08642368889441376,0.9046434825452546,w
9454,true,h,88,Manchester City,MCI,80,Chelsea,CHE,6,0,4.04218,0.901867,2019-02-10 16:00:00,0.8922398688938316,0.0689051098641579,0.038832581416420035,w
9475,true,h,88,Manchester City,MCI,81,West Ham,WHU,1,0,3.67741,0.400125,2019-02-27 20:00:00,0.9316851813250816,0.05270904954746948,0.015598168417298912,w
9486,true,a,73,Bournemouth,BOU,88,Manchester City,MCI,0,1,0,1.59515,2019-03-02 15:00:00,0,0.2028780945058755,0.797121905304426,w
9489,true,h,88,Manchester City,MCI,90,Watford,WAT,3,1,3.75714,0.407168,2019-03-09 17:30:00,0.934946711393333,0.05010885829765952,0.014934688038879056,w
9512,true,a,228,Fulham,FLH,88,Manchester City,MCI,0,2,0.661491,2.31513,2019-03-30 12:30:00,0.08925785105854686,0.16449852464918518,0.746243598358859,w
9522,true,h,88,Manchester City,MCI,227,Cardiff,CAR,2,0,3.53913,0.135788,2019-04-03 19:45:00,0.9562918187340401,0.03907895769983341,0.004624364293886452,w
9534,true,a,78,Crystal Palace,CRY,88,Manchester City,MCI,1,3,0.318169,2.86236,2019-04-14 14:05:00,0.02335379336751465,0.08895808576416739,0.8876877444174702,w
9540,true,h,88,Manchester City,MCI,82,Tottenham,TOT,1,0,2.06185,1.19894,2019-04-20 12:30:00,0.5725297361445408,0.21062825093846374,0.21684200714180757,w
9501,true,a,89,Manchester United,MUN,88,Manchester City,MCI,0,2,0.514509,0.530481,2019-04-24 20:00:00,0.26747459158175174,0.4544380163505862,0.2780873920676617,w
9555,true,a,92,Burnley,BUR,88,Manchester City,MCI,0,1,0.0899809,2.34878,2019-04-28 14:05:00,0.009102349668806829,0.1067104947033896,0.884187124417677,w
9560,true,h,88,Manchester City,MCI,75,Leicester,LEI,1,0,1.08617,0.537307,2019-05-06 19:00:00,0.4885597844463229,0.3302279344568285,0.1812122810958917,w
9576,true,a,220,Brighton,BRI,88,Manchester City,MCI,1,4,0.595313,2.22234,2019-05-12 14:00:00,0.08434535725740937,0.16911080169055473,0.7465438257477718,w
11644,true,a,81,West Ham,WHU,88,Manchester City,MCI,0,5,1.2003,3.18377,2019-08-10 12:30:00,0.10787829558146067,0.13043295740572688,0.7616873672401201,w
11659,true,h,88,Manchester City,MCI,82,Tottenham,TOT,2,2,3.20076,0.074542,2019-08-17 17:30:00,0.9493361552831221,0.04737799558940912,0.0032843779810223894,d
11671,true,a,73,Bournemouth,BOU,88,Manchester City,MCI,1,3,1.89345,3.12856,2019-08-25 14:00:00,0.21459251925327902,0.15957163430481683,0.6258347276460056,w
11678,true,h,88,Manchester City,MCI,220,Brighton,BRI,4,0,2.30818,0.861035,2019-08-31 15:00:00,0.6985414930442955,0.1774913302568921,0.12396715174842797,w
11689,true,a,79,Norwich,NOR,88,Manchester City,MCI,3,2,1.7413,2.34436,2019-09-14 16:30:00,0.2877079515175896,0.19684662085969867,0.5154453965406504,l
11695,true,h,88,Manchester City,MCI,90,Watford,WAT,8,0,6.63049,0.344718,2019-09-21 14:00:00,0.9908256590294315,0.004650850424464391,0.0009846551085815323,w
11711,true,a,72,Everton,EVE,88,Manchester City,MCI,1,3,2.35854,3.1082,2019-09-28 16:30:00,0.2933422504232279,0.16707099334135114,0.5395856913560166,w
11716,true,h,88,Manchester City,MCI,229,Wolverhampton Wanderers,WOL,0,2,1.61884,1.18825,2019-10-06 14:00:00,0.47386895010673197,0.24587189951326743,0.2802591501451737,l
11726,true,a,78,Crystal Palace,CRY,88,Manchester City,MCI,0,2,0.616864,4.02104,2019-10-19 17:30:00,0.021861983785762717,0.0533759235001927,0.9247409427180661,w
11737,true,h,88,Manchester City,MCI,71,Aston Villa,AVL,3,0,3.19004,0.980145,2019-10-26 12:30:00,0.8022955249056855,0.11754629422066779,0.08015676799308127,w
11749,true,h,88,Manchester City,MCI,74,Southampton,SOU,2,1,3.36132,0.893889,2019-11-02 15:00:00,0.8359384712134347,0.10181596881739212,0.06224291714036699,w
11755,true,a,87,Liverpool,LIV,88,Manchester City,MCI,3,1,1.3319,1.48104,2019-11-10 16:30:00,0.3406073860576098,0.25134269211808835,0.40804992173879817,l
11769,true,h,88,Manchester City,MCI,80,Chelsea,CHE,2,1,1.23596,0.820474,2019-11-23 17:30:00,0.45944875566466364,0.2944521211284817,0.24609912320106184,w
11777,true,a,86,Newcastle United,NEW,88,Manchester City,MCI,2,2,0.208252,2.44389,2019-11-30 12:30:00,0.020680462086768468,0.11121254754035959,0.8681069385470257,d
11784,true,a,92,Burnley,BUR,88,Manchester City,MCI,1,4,0.486548,2.56057,2019-12-03 20:15:00,0.05056476039673149,0.1278573045923915,0.8215778413924449,w
11797,true,h,88,Manchester City,MCI,89,Manchester United,MUN,1,2,2.07108,1.63385,2019-12-07 17:30:00,0.4812111253950325,0.21118880195645837,0.3076000662677499,l
11803,true,a,83,Arsenal,ARS,88,Manchester City,MCI,0,3,0.28161,1.69553,2019-12-15 16:30:00,0.05611346215199313,0.2129019611093712,0.7309845763070943,w
11817,true,h,88,Manchester City,MCI,75,Leicester,LEI,3,1,3.59139,1.01388,2019-12-21 17:30:00,0.8394796650709366,0.09650473150888726,0.06400983416305601,w
11832,true,a,229,Wolverhampton Wanderers,WOL,88,Manchester City,MCI,3,2,2.39405,1.52044,2019-12-27 19:45:00,0.5698183112375143,0.19244696082601168,0.23773468798928185,l
11837,true,h,88,Manchester City,MCI,238,Sheffield United,SHE,2,0,1.08628,1.23346,2019-12-29 18:00:00,0.32317508126755423,0.28127612294139415,0.39554879578447877,w
11848,true,h,88,Manchester City,MCI,72,Everton,EVE,2,1,1.79757,0.848942,2020-01-01 17:30:00,0.5983342677948098,0.2280761329789163,0.1735895982833286,w
11856,true,a,71,Aston Villa,AVL,88,Manchester City,MCI,1,6,1.12565,3.75131,2020-01-12 16:30:00,0.06758255803749938,0.09471100227423555,0.8376968704416721,w
11864,true,h,88,Manchester City,MCI,78,Crystal Palace,CRY,2,2,2.47314,0.586716,2020-01-18 15:00:00,0.7877398051867943,0.14398610748565474,0.06827402703482474,d
11875,true,a,238,Sheffield United,SHE,88,Manchester City,MCI,0,1,0.774943,2.873,2020-01-21 19:30:00,0.0723527196125727,0.12550653953535854,0.8021403467582021,w
11890,true,a,82,Tottenham,TOT,88,Manchester City,MCI,2,0,0.420293,3.25139,2020-02-02 16:30:00,0.023806219479698024,0.07402905835657159,0.9021629456445676,l
11898,true,h,88,Manchester City,MCI,81,West Ham,WHU,2,0,2.13777,0.0895892,2020-02-19 19:30:00,0.8594402491775077,0.12947113102132987,0.011088610550044538,w
11904,true,a,75,Leicester,LEI,88,Manchester City,MCI,0,1,0.723269,2.42749,2020-02-22 17:30:00,0.09166829520786539,0.15819390312272788,0.7501377541038081,w
11932,true,a,89,Manchester United,MUN,88,Manchester City,MCI,2,0,1.7389,0.585469,2020-03-08 16:30:00,0.6542050201239356,0.22587009122996887,0.11992488804072242,l
11917,true,h,88,Manchester City,MCI,83,Arsenal,ARS,3,0,2.73725,0.496759,2020-06-17 19:15:00,0.8408193745319936,0.1141825990377405,0.04499781021068112,w
11939,true,h,88,Manchester City,MCI,92,Burnley,BUR,5,0,2.71096,0.0303408,2020-06-22 19:00:00,0.9280301869132026,0.06990066203662809,0.0020689593575006246,w
11946,true,a,80,Chelsea,CHE,88,Manchester City,MCI,2,1,4.206,0.690594,2020-06-25 19:15:00,0.9263805445508476,0.05106182203609192,0.022522608299365858,l
11959,true,h,88,Manchester City,MCI,87,Liverpool,LIV,4,0,2.65433,0.819606,2020-07-02 19:15:00,0.7634822567979638,0.1452789213327291,0.0912386746791263,w
11970,true,a,74,Southampton,SOU,88,Manchester City,MCI,1,0,0.628765,3.39575,2020-07-05 18:00:00,0.036602258381303876,0.08193553468776954,0.8814592239814137,l
11979,true,h,88,Manchester City,MCI,86,Newcastle United,NEW,5,0,3.28662,0.21643,2020-07-08 17:00:00,0.9342784446122683,0.05564304899048262,0.010076485070876324,w
