Rk,Player,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,GperSh,GperSoT,Dist,FK,PK,xG,NpxG,NpxGperSh,G-xG,Np:G-xG
268,Marco Benassi\0000acda,MF,Empoli,it Serie A,26,1994,4.2,0,1.67,0.95,57.1,1.65,0.94,0,0,17.6,0,0,0.12,0.12,0.07,-0.12,-0.12
269,Darío Benedetto\bef0a7ac,FW,Elche,es La Liga,31,1990,6.6,0.3,2.73,0.91,33.3,2.75,0.92,0.11,0.33,20.6,0,0,0.41,0.41,0.15,-0.11,-0.11
270,Darío Benedetto\bef0a7ac,FWMF,Marseille,fr Ligue 1,31,1990,0.6,0,5,0,0,5,0,0,,12.2,0,0,0.83,0.83,0.17,-0.83,-0.83
271,László Bénes\fe888e39,MF,M'Gladbach,de Bundesliga,23,1997,2.7,0,2.59,1.85,71.4,2.56,1.83,0,0,22,0.74,0,0.26,0.26,0.1,-0.26,-0.26
272,Walter Benítez\8a2248b4,GK,Nice,fr Ligue 1,28,1993,37,0,0,0,,0,0,,,,0,0,0,0,,0,0
273,Iker Benito\50cbc806,MFFW,Osasuna,es La Liga,18,2002,1.3,0,2.31,0.77,33.3,2.29,0.76,0,0,25.9,0,0,0.08,0.08,0.03,-0.08,-0.08
274,Loris Benito\f5b6fb78,DF,Bordeaux,fr Ligue 1,29,1992,0.7,0,0,0,,0,0,,,,0,0,0,0,,0,0
275,Pedro Benito\a7416105,FW,Cádiz,es La Liga,21,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,,0,0
276,Filip Benković\305a3820,DFFW,Udinese,it Serie A,24,1997,0.1,0,10,10,100,11.25,11.25,0,0,6.3,0,0,1,1,0.08,-1,-1
277,Ismaël Bennacer\db092d3b,MF,Milan,it Serie A,23,1997,16.9,0.12,0.95,0.36,37.5,0.94,0.35,0.13,0.33,22.6,0.12,0,0.05,0.05,0.05,0.07,0.07
278,Keanan Bennetts\f4c7c708,FWDF,M'Gladbach,de Bundesliga,22,1999,0.6,0,1.67,0,0,1.8,0,0,,19.6,0,0,0,0,0.04,0,0
279,Saïd Benrahma\5a04fd92,FWMF,West Ham,eng Premier League,25,1995,24.1,0.33,2.61,0.91,34.9,2.62,0.91,0.13,0.36,18.7,0.12,0,0.21,0.21,0.08,0.12,0.12
280,Ramy Bensebaini\378825c7,DF,M'Gladbach,de Bundesliga,26,1995,22.4,0.18,1.29,0.31,24.1,1.29,0.31,0.07,0.29,16.3,0.04,0.09,0.17,0.1,0.08,0.01,-0.01
281,Nabil Bentaleb\3189f61a,MF,Angers,fr Ligue 1,26,1994,16.8,0.06,0.89,0.42,46.7,0.89,0.42,0.07,0.14,22.5,0.06,0,0.04,0.04,0.04,0.02,0.02
282,Rodrigo Bentancur\3b8674e6,MF,Tottenham,eng Premier League,24,1997,15.1,0,0.93,0.13,14.3,0.93,0.13,0,0,18.6,0,0,0.06,0.06,0.06,-0.06,-0.06
283,Rodrigo Bentancur\3b8674e6,MF,Juventus,it Serie A,24,1997,12.8,0,0.63,0.08,12.5,0.62,0.08,0,0,20.5,0,0,0.03,0.03,0.06,-0.03,-0.03
284,Christian Benteke\ab070c55,FW,Crystal Palace,eng Premier League,30,1990,12.7,0.31,3.07,1.02,33.3,3.07,1.02,0.1,0.31,11.4,0,0,0.43,0.43,0.14,-0.11,-0.11
285,Karim Benzema\70d74ece,FW,Real Madrid,es La Liga,33,1987,28.8,0.94,4.1,1.63,39.8,4.1,1.63,0.17,0.43,15.5,0.1,0.24,0.82,0.53,0.13,0.12,0.17
286,Alessandro Berardi\ec1f737d,GK,Hellas Verona,it Serie A,30,1991,1,0,0,0,,0,0,,,,0,0,0,0,,0,0
287,Domenico Berardi\53a0e358,FW,Sassuolo,it Serie A,26,1994,31.3,0.48,3.29,1.28,38.8,3.29,1.28,0.09,0.23,21.3,0.26,0.19,0.4,0.25,0.08,0.08,0.04
288,Yuri Berchiche\b6e50615,DF,Athletic Club,es La Liga,31,1990,11.3,0.09,0.71,0.27,37.5,0.71,0.27,0.13,0.33,20.4,0,0,0.04,0.04,0.05,0.05,0.05
289,Álex Berenguer\dc1c2fce,MFFW,Athletic Club,es La Liga,26,1995,24.1,0.12,1.91,0.58,30.4,1.91,0.58,0.07,0.21,17.3,0.04,0,0.19,0.16,0.08,-0.07,-0.04
290,Bartosz Bereszyński\61b3978f,DF,Sampdoria,it Serie A,29,1992,32.7,0,0.18,0.03,16.7,0.18,0.03,0,0,14.3,0,0,0.02,0.02,0.11,-0.02,-0.02
291,Jóhann Berg Guðmundsson\f72293fc,MF,Burnley,eng Premier League,30,1990,12.2,0,1.56,0.33,21.1,1.55,0.33,0,0,19.7,0.16,0,0.14,0.14,0.09,-0.14,-0.14
292,Patrick Berg\e4114f5d,MF,Lens,fr Ligue 1,23,1997,3.4,0,0,0,,0,0,,,,0,0,0,0,,0,0
293,Mitchell van Bergen\0b2c9aec,FWMF,Reims,fr Ligue 1,21,1999,10.9,0,1.1,0.46,41.7,1.1,0.46,0,0,17.7,0,0,0.1,0.1,0.1,-0.1,-0.1
294,Steven Bergwijn\a29b1131,FWMF,Tottenham,eng Premier League,23,1997,6.3,0.48,3.02,1.59,52.6,3.03,1.59,0.16,0.3,15.9,0,0,0.49,0.49,0.16,-0.02,-0.02
295,Etrit Berisha\ee833569,GK,Torino,it Serie A,32,1989,10,0,0,0,,0,0,,,,0,0,0,0,,0,0
296,Valon Berisha\d5575935,MFFW,Reims,fr Ligue 1,28,1993,5.1,0,0.78,0,0,0.79,0,0,,16.9,0,0,0.02,0.02,0.04,-0.02,-0.02
297,Federico Bernardeschi\ee93c1a9,MFFW,Juventus,it Serie A,27,1994,16.4,0.06,2.07,0.49,23.5,2.07,0.49,0.03,0.13,19.2,0,0,0.09,0.09,0.04,-0.02,-0.02
298,Paul Bernardoni\28dabd43,GK,Angers,fr Ligue 1,24,1997,13,0,0,0,,0,0,,,,0,0,0,0,,0,0
299,Paul Bernardoni\28dabd43,GK,Saint-Étienne,fr Ligue 1,24,1997,19,0,0,0,,0,0,,,,0,0,0,0,,0,0
300,Juan Bernat\433dc9a2,DF,Paris S-G,fr Ligue 1,28,1993,10.6,0,0.09,0.09,100,0.09,0.09,0,0,12.8,0,0,0.02,0.02,0.2,-0.02,-0.02
301,Dimitry Bertaud\380a15e2,GK,Montpellier,fr Ligue 1,23,1998,9.3,0,0,0,,0,0,,,,0,0,0,0,,0,0
302,Jason Berthomier\03e91055,MF,Clermont Foot,fr Ligue 1,31,1990,19.2,0.05,1.2,0.21,17.4,1.2,0.21,0.04,0.25,20.1,0.31,0,0.1,0.1,0.09,-0.05,-0.05
303,Nicolò Bertola\04b40c58,MFDF,Spezia,it Serie A,18,2003,0.4,0,2.5,2.5,100,2.57,2.57,0,0,33.4,0,0,0,0,0.01,0,0
304,Ryan Bertrand\01226327,DF,Leicester City,eng Premier League,31,1989,3.7,0,0,0,,0,0,,,,0,0,0,0,,0,0
305,Daniel Bessa\88895312,MFFW,Hellas Verona,it Serie A,28,1993,8.5,0.12,1.18,0.24,20,1.17,0.23,0.1,0.5,24.3,0,0,0.04,0.04,0.03,0.08,0.08
306,Beto\ed5c0319,FW,Udinese,it Serie A,23,1998,24.1,0.46,2.66,1.08,40.6,2.65,1.08,0.17,0.42,12.8,0,0,0.44,0.44,0.17,0.02,0.02
307,Louis Beyer\9af1f9ff,DF,M'Gladbach,de Bundesliga,21,2000,15.4,0,0.45,0,0,0.46,0,0,,11.1,0,0,0.04,0.04,0.08,-0.04,-0.04
308,Bartosz Bialek\763b8b37,FW,Wolfsburg,de Bundesliga,19,2001,2,0,3.5,1,28.6,3.54,1.01,0,0,11.9,0,0,0.25,0.25,0.07,-0.25,-0.25
309,Giulian Biancone\de40e38c,DF,Troyes,fr Ligue 1,21,2000,25.5,0.04,1.14,0.31,27.6,1.14,0.31,0.03,0.13,17.1,0.04,0,0.08,0.08,0.07,-0.04,-0.04
310,Ermin Bičakčić\7aac47fe,DF,Hoffenheim,de Bundesliga,31,1990,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
311,Mads Bidstrup\407db0d5,MF,Brentford,eng Premier League,20,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,,0,0
312,Pedro Bigas\697295b1,DF,Elche,es La Liga,30,1990,17.2,0.06,0.7,0.17,25,0.7,0.17,0.08,0.33,20.3,0.06,0,0.03,0.03,0.05,0.02,0.02
313,El Bilal Touré\47c609d5,FW,Reims,fr Ligue 1,19,2001,13.3,0.15,2.48,0.83,33.3,2.49,0.83,0.03,0.09,13.4,0,0.08,0.31,0.25,0.1,-0.16,-0.17
314,Jean-Claude Billong\a3e1d20d,DF,Clermont Foot,fr Ligue 1,27,1993,10.9,0,0.37,0.09,25,0.37,0.09,0,0,8.6,0,0,0.02,0.02,0.05,-0.02,-0.02
315,Luis Binks\36e88fbc,DF,Bologna,it Serie A,19,2001,7.2,0,0.28,0,0,0.28,0,0,,19.5,0,0,0,0,0.02,0,0
316,Cristiano Biraghi\9e1577aa,DF,Fiorentina,it Serie A,28,1992,35,0.11,1.06,0.49,45.9,1.06,0.49,0.08,0.18,24.8,0.4,0.03,0.09,0.05,0.05,0.02,0.03
317,Davide Biraschi\64cd167d,DF,Genoa,it Serie A,27,1994,10.3,0,0.29,0,0,0.29,0,0,,24.4,0,0,0.01,0.01,0.02,-0.01,-0.01
318,Tom Bischof\07d3bfec,MFFW,Hoffenheim,de Bundesliga,16,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
319,Yves Bissouma\6c203af0,MF,Brighton,eng Premier League,24,1996,23.5,0.04,0.89,0.21,23.8,0.9,0.21,0.05,0.2,24,0.04,0,0.04,0.04,0.04,0,0
