,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Rk,Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
342,Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,0.1,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,0,0,0,0
343,Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,24.2,56.3,55.6,0.7,0.66,0.12,7.11,1.16,0.12,0,0,0,0,44,5.5,6.82,7.11,45.1,2.73,0.04,0.12,49.6,0.12,0.58,1.2,0.62
344,Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,23.2,50.2,48.6,1.59,0.73,0.34,7.11,0.69,0.34,0,0,0,0,41.8,5,3.41,4.31,43.4,1.59,0.17,0.22,42.8,0.13,0.3,1.34,1.03
345,Reiss Nelson\Reiss-Nelson,FW,Arsenal,0.8,37.5,28.8,8.75,2.5,0,6.25,1.25,5,5,1.25,3.75,0,16.3,8.75,12.5,5,31.3,0,1.25,0,21.3,0,0,0,3.75
346,Pedro Neto\Pedro-Neto,FWMF,Wolves,28.3,42.8,37.6,5.23,1.38,0.14,6.71,2.01,4.49,2.76,1.06,0.57,0.14,29.2,5.8,7.84,34,6.75,0.92,0.11,0.57,33.7,0,0.85,0.39,1.52
347,Rúben Neves\Ruben-Neves,MF,Wolves,29.7,65.2,63.3,1.92,1.78,0.2,8.22,4.28,0.57,0,0,0,0,43.7,9.93,11.5,4.78,57.1,2.09,0.1,0.27,55,0.07,1.08,1.52,0.98
348,Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,4.7,18.9,17.4,1.49,0,0.43,4.68,0.21,0.85,0,0,0,0,14.9,3.62,0.43,2.34,15.1,0.21,0,0.64,15.5,0,0.21,0.85,0.64
349,Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,0.9,37.8,33.3,4.44,0,0,3.33,2.22,2.22,0,0,0,0,23.3,4.44,10,31.1,1.11,1.11,4.44,0,30,0,1.11,0,1.11
350,Dan Nlundulu\Dan-Nlundulu,FW,Southampton,1.2,27.5,27.5,0,0,0,10,0,0,0,0,0,0,14.2,6.67,6.67,3.33,15.8,4.17,0,0,18.3,0,0,0,1.67
351,Mark Noble\Mark-Noble,MF,West Ham,7.9,54.3,50.3,4.05,2.03,0.25,6.84,2.53,0.51,0.63,0.25,0.13,0.13,38.5,6.71,9.11,2.66,48.9,1.39,0.51,0.13,47.3,0.13,0.25,1.52,0.89
352,Will Norris\Will-Norris,GK,Burnley,2,28,15.5,12.5,3,0,2,1,0,0,0,0,0,3,0,25,14.5,10.5,0,0,0.5,13.5,0,1.5,0,0
353,Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,24.7,60,54.7,5.34,2.63,0.04,7.04,4.57,1.62,2.59,1.21,0.61,0.45,38.5,6.11,15.4,2.87,54.1,2.23,0.08,0.16,47.8,0.4,0.97,1.42,0.49
354,Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,2,38.5,37.5,1,0.5,0,5,0.5,0.5,0,0,0,0,23,2.5,13,31.5,1,4,0.5,0,30,0,0.5,0,0.5
355,Dara O'Shea\Dara-OShea,DF,West Brom,23.4,36.6,31.5,5.09,1.11,0,4.66,1.5,0.34,0.04,0,0,0,15.5,5.04,16.1,2.35,24.7,3.76,3.93,0.17,24.2,0.21,1.32,0.56,0.9
356,Michael Obafemi\Michael-Obafemi,FW,Southampton,0.7,21.4,20,1.43,0,0,7.14,0,1.43,0,0,0,0,12.9,7.14,1.43,1.43,15.7,2.86,0,1.43,18.6,0,0,0,0
357,Denis Odoi\Denis-Odoi,DF,Fulham,3,61.7,55,6.67,1.67,0,5.33,0.33,1.33,0,0,0,0,42.7,8.33,10.7,3.67,48.7,3.33,5,0,51,0.33,1.67,0,2
358,Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,27.7,34.7,34.2,0.51,0.43,0,3.03,0.51,0.11,0,0,0,0,25.5,2.96,6.17,20.8,10.5,2.13,0.07,0.22,29.2,0,0.4,0.47,0.36
359,Robin Olsen\Robin-Olsen,GK,Everton,7,28.4,18,10.4,3.14,0,3.29,0.57,0,0,0,0,0,12.3,1.43,14.7,1.86,22.4,0,0,3,20.3,0.14,0.29,0.57,0
360,Josh Onomah\Josh-Onomah,MF,Fulham,4.2,39.5,39.3,0.24,0,0,10.7,0,0.24,0,0,0,0,32.6,4.52,2.38,7.62,30.2,0.95,0,0,35.5,0,0.24,0.48,0.24
361,Divock Origi\Divock-Origi,FW,Liverpool,2.1,28.6,28.1,0.48,0,0,2.86,0,1.43,0,0,0,0,23.8,2.38,2.38,2.38,23.8,0.95,0.48,0,21.9,0.48,0.48,0.48,1.9
362,Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,17.8,47.2,43.3,3.88,0.51,0.06,7.92,1.07,2.58,0.73,0.45,0.17,0,31.3,7.58,8.26,34.9,7.36,1.4,2.58,0.28,37.2,0.11,0.51,0.73,1.74
363,Owen Otasowie\Owen-Otasowie,MFFW,Wolves,2.1,30.5,30,0.48,0.48,0,8.57,0.95,0,0,0,0,0,21.4,4.76,4.29,3.81,22.4,0.95,0,0,21.4,0,0.48,3.33,0.95
364,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,FWMF,Liverpool,2.8,49.3,48.6,0.71,0,0.36,5,2.14,0.36,0,0,0,0,32.1,7.14,10,2.14,42.5,3.57,0.36,0,37.1,0.36,1.07,0.71,3.21
365,Emerson Palmieri\Emerson-Palmieri,DF,Chelsea,1,63,52,11,0,0,6,1,1,1,0,1,0,31,18,14,43,4,5,10,0,51,0,1,0,4
366,Thomas Partey\Thomas-Partey,MF,Arsenal,17,65.4,63.7,1.71,1.65,0.12,9.24,1.82,0.12,0,0,0,0,50.3,6.35,8.76,3.71,59,1.53,0.06,0.29,56.8,0.24,1.18,1.53,0.76
367,Rui Patrício\Rui-Patricio,GK,Wolves,37,21.6,12.3,9.35,2.19,0,1,0.54,0,0,0,0,0,8.35,1.05,12.2,12.4,3.89,0,0,3.54,14.5,0.05,0.51,0.24,0.05
368,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,GK,Burnley,4,28.3,15.3,13,5.75,0,2,1,0,0,0,0,0,4,1,23.3,20.3,4.75,0,0,1.25,14.5,0.5,0.5,0,0.25
369,Lee Peltier\Lee-Peltier,DF,West Brom,2.5,30.4,25.2,5.2,0.4,0,4.8,0.4,0.8,0,0,0,0,14.4,7.2,8.8,2.8,21.2,0.4,4.8,0,19.2,0,2.4,0.8,1.6
370,Nicolas Pépé\Nicolas-Pepe,FW,Arsenal,18,37.4,35.5,1.94,0.56,0.06,8,0.61,1.94,1.11,0.44,0.39,0.06,29.4,4.17,3.89,31.2,2.78,1.11,0.28,0.44,28.3,0.11,0.61,1.61,2
371,Matheus Pereira\Matheus-Pereira,MFFW,West Brom,28.6,37.3,30.9,6.36,2.73,0.38,5.7,2.03,2.03,2.94,1.5,0.52,0.24,24.4,4.48,8.39,31.2,4.37,1.05,0.17,0.1,26.7,0.21,0.52,1.4,1.64
372,Ricardo Pereira\Ricardo-Pereira,DF,Leicester City,10.7,49.1,42.5,6.54,0.09,0.09,6.82,0.37,1.4,0,0,0,0,30.6,9.53,8.97,7.38,32.6,1.96,6.45,0.19,38.4,0.19,0.47,1.5,1.78
373,Ayoze Pérez\Ayoze-Perez,MFFW,Leicester City,14.8,33.7,32.2,1.49,0.27,0.14,8.31,0.41,1.22,0.27,0.14,0.14,0,25.1,4.59,3.99,2.91,29.1,0.74,0.07,0.41,25.8,0.27,0.34,1.15,1.49
374,Kalvin Phillips\Kalvin-Phillips,MF,Leeds United,27,54.1,49.4,4.7,2.44,0.15,5.07,3.96,0.93,2.07,1,0.78,0.04,35.5,6.15,12.4,5.44,45.1,2.33,0.19,0.19,44.8,0.22,0.85,0.63,1.04
375,Matt Phillips\Matt-Phillips,MFFW,West Brom,20.3,27.9,26.2,1.72,0.49,0,4.73,0.94,2.56,0.79,0.34,0.3,0.1,17.7,3.69,6.5,3.15,21.9,1.72,0.44,0.25,19.4,0.05,0.59,0.94,1.38
376,Nathaniel Phillips\Nathaniel-Phillips,DF,Liverpool,16.2,65.3,63.7,1.6,1.11,0.06,7.59,1.54,0.12,0,0,0,0,47,6.48,11.9,5.8,52.4,3.64,0.49,0.37,57,0.06,0.99,0.86,0.56
377,Jaden Philogene Bidace\Jaden-Philogene-Bidace,FW,Aston Villa,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,2,0
378,Jordan Pickford\Jordan-Pickford,GK,Everton,30.5,37.8,27.7,10.1,3.31,0.07,2.56,1.15,0,0,0,0,0,15.1,1.67,21,26,4.98,0,0,4.43,25,0.16,1.67,0.43,0.1
379,Erik Pieters\Erik-Pieters,DFMF,Burnley,14.1,41.1,32.6,8.58,0.28,0.07,5.74,0.99,1.06,0.43,0.43,0,0,20.6,9.65,10.9,26.8,2.55,2.91,7.87,0.07,30.8,0.14,1.21,0.5,1.06
380,Daniel Podence\Daniel-Podence,MFFW,Wolves,18.5,34.4,33,1.35,0,0.22,6,1.41,1.51,0.32,0.05,0.05,0.11,22.6,5.78,6,4.76,27.9,0.76,0.38,0.32,25.8,0.05,0.54,1.46,1.24
381,Paul Pogba\Paul-Pogba,MFFW,Manchester Utd,21.1,63.6,62.2,1.42,1.23,0.28,12.4,3.6,1.14,0,0,0,0,47.7,6.3,9.62,8.72,51.4,1.47,0.19,0.19,52.7,0.38,0.71,1.71,1.33
382,Nick Pope\Nick-Pope,GK,Burnley,32,30.6,18.7,11.9,4.06,0.03,1.63,0.69,0,0,0,0,0,5.63,1.47,23.5,1.38,21.6,0,0,4,15.5,0.38,0.97,0.19,0.06
383,Dennis Praet\Dennis-Praet,MFFW,Leicester City,8,39.1,38.5,0.63,0,0,7,1.13,2.25,0,0,0,0,26.9,6.75,5.5,2.75,33.6,2,0.13,0,31,0.13,0.5,1,0.75
384,Davy Pröpper\Davy-Propper,MF,Brighton,2.4,40,40,0,0,0,5,0.42,0.83,0,0,0,0,27.9,7.08,5,1.67,35.8,1.67,0,0,30.4,0,0.42,1.67,1.25
385,Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,19.3,35.8,35,0.78,0.16,0.1,7.82,0.52,1.61,0.16,0,0.1,0.05,27.7,3.73,4.35,5.18,27.9,1.35,0.41,0.16,28.6,0,0.78,0.73,1.19
386,Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,38,30,19.1,10.9,3.5,0,1.55,1.16,0,0,0,0,0,6.82,0.92,22.3,1.5,21.8,0,0,3.29,14.7,0.13,1.24,0.13,0.16
387,Jacob Ramsey\Jacob-Ramsey,MF,Aston Villa,7,31.4,31.3,0.14,0,0,6.86,0.71,1,0,0,0,0,23.3,4.29,3.86,4,24.7,1.86,0.14,0.14,26.9,0,0.57,0.57,0.86
388,Kayne Ramsey\Kayne-Ramsey,DF,Southampton,1,26,23,3,0,0,6,0,0,0,0,0,0,14,5,7,4,16,3,3,0,18,1,0,0,2
389,Darren Randolph\Darren-Randolph,GK,West Ham,3,22,11,11,3.67,0,0.67,0.33,0,0,0,0,0,6.33,0.67,15,0.67,17.3,0,0,1.67,12,0,0.33,0,0
390,Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,32.4,38.1,37.2,0.86,0.12,0.09,5.99,0.9,1.33,0.03,0,0,0.03,30.7,3.86,3.49,2.84,33.1,0.8,0.56,0.22,30.7,0.09,0.56,1.57,1.39
391,Tim Ream\Tim-Ream,DF,Fulham,7,62,61.7,0.29,0.29,0,4,1.86,0,0,0,0,0,50.4,4.86,6.71,46.4,12,2,0,0.71,56.6,0,1.43,0.43,0.57
392,Nathan Redmond\Nathan-Redmond,MFFW,Southampton,19.3,38.5,36.2,2.28,0.05,0.16,8.45,0.47,1.76,0.05,0,0,0,27.7,5.8,5.03,2.38,32.5,1.09,1.61,0.41,29.2,0.16,0.36,1.97,1.45
393,Harrison Reed\Harrison-Reed,MF,Fulham,25,58.4,54.9,3.48,2.4,0,7.08,1.36,0.52,0.48,0.12,0.24,0,43.4,6.32,8.64,6.32,47.6,3.12,0.44,0.16,50.5,0.08,0.64,0.88,0.92
394,Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,24.9,55.9,47.6,8.35,0.8,0,5.74,1.08,2.37,0.04,0.04,0,0,35.4,9.64,10.9,43.2,3.25,1.33,7.51,0.04,43.2,0.16,0.6,1.81,1.93
395,Bobby Reid\Bobby-Reid,MFDF,Fulham,26.4,31.3,29.2,2.05,0.19,0.08,4.73,0.83,1.33,0.11,0.04,0.04,0.04,20.3,5.45,5.57,2.77,25.8,0.8,1.14,0.11,23.2,0.11,0.57,0.98,1.21
396,Declan Rice\Declan-Rice,MF,West Ham,32,47.1,46.4,0.69,0.59,0.13,6.94,1.81,0.91,0,0,0,0,36.8,4.19,6.09,6.34,37.6,2,0.06,0,40.6,0.09,0.59,0.72,0.63
397,Lewis Richardson\Lewis-Richardson,FWMF,Burnley,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
398,Richarlison\Richarlison,FW,Everton,31.8,24.3,23.7,0.57,0.13,0.13,6.57,0.19,0.72,0.03,0.03,0,0,18.6,3.27,2.39,4.75,17.8,0.88,0,0.13,16.8,0.06,0.41,1.29,2.08
399,Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,20.2,31.1,30.5,0.54,0.35,0,4.75,0.35,0.25,0,0,0,0,23.7,3.71,3.71,24.9,4.06,1.53,0.1,0.15,26.4,0.1,0.4,0.89,0.3
400,Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,15,40.5,31.5,8.93,2.13,0,6.33,2.33,3.93,2.47,1.6,0.87,0,19.3,7.67,13.5,27.7,5.73,1.87,4.33,0.2,27.4,0.2,1.2,0.93,1.73
401,Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,14.9,31.3,30.9,0.4,0.13,0.27,5.5,0.6,0.6,0,0,0,0,21.5,5.23,4.63,2.15,26.6,1.14,0,0.27,22.6,0.2,1.01,1.88,1.28
402,Andrew Robertson\Andrew-Robertson,DF,Liverpool,37.6,85.5,71.8,13.6,1.81,0.08,6.2,3.06,3.91,3.14,0.64,1.73,0.32,55.1,15.2,15.2,69.4,4.12,2.53,8.7,0.05,68.3,0.21,1.22,1.6,2.61
403,Antonee Robinson\Antonee-Robinson,DF,Fulham,24,56.3,46,10.4,0.54,0,5.71,1.25,3.88,0.04,0,0.04,0,31.5,9.13,15.8,36.5,6.58,2.29,9.79,0.04,40.9,0.08,0.75,1.88,2.29
404,Callum Robinson\Callum-Robinson,FWMF,West Brom,17.3,26,24.7,1.33,0.12,0,5.9,0.58,2.02,0,0,0,0,16.5,5.14,4.39,5.43,18.4,1.1,0.12,0.4,18.4,0.06,0.29,0.87,1.73
405,Jack Robinson\Jack-Robinson,DF,Sheffield Utd,9.7,45.3,40.8,4.43,0.52,0,4.95,0.41,1.13,0,0,0,0,31.3,4.02,9.9,31.8,5.36,2.58,3.92,0.1,36.5,0,0.31,0.31,0.72
406,Hal Robson-Kanu\Hal-Robson-Kanu,FW,West Brom,6.2,13.9,12.9,0.97,0.16,0,4.68,0.16,0.48,0,0,0,0,9.35,2.9,1.61,9.19,2.74,0.16,0,1.13,10.3,0,0.48,0.16,0.48
407,Marek Rodák\Marek-Rodak,GK,Fulham,2,23,18.5,4.5,1,0,4.5,0.5,0,0,0,0,0,14.5,0,8.5,2.5,17,0,0,3.5,18.5,0,0,0,0
408,Joe Rodon\Joe-Rodon,DF,Tottenham,8.1,50.7,50,0.74,0.74,0,4.07,0.37,0,0,0,0,0,40.4,3.83,6.54,3.09,43.1,3.09,0,0.12,45.1,0,0.86,0.37,0.25
409,Rodri\Rodri,MF,Manchester City,30.5,89.4,88.2,1.28,1.25,0.1,13.2,3.18,0.39,0,0,0,0,70,7.28,12.1,14.1,70.4,2.75,0.03,0.3,81.8,0,0.52,1.15,0.72
410,Rodrigo\Rodrigo,MFFW,Leeds United,14.3,40.1,39.5,0.56,0.07,0.35,8.74,1.26,1.4,0.07,0.07,0,0,26.4,7.83,5.8,31,4.76,2.52,0.28,0.49,30.2,0,0.35,1.89,1.54
411,James Rodríguez\James-Rodriguez,FWMF,Everton,19.6,56.7,49.8,6.89,1.94,0.31,10.1,4.54,1.79,2.96,1.22,1.22,0.1,35.4,8.37,13,51,3.27,1.07,1.07,0.05,44.8,0.15,0.97,1.58,1.33
412,Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,14.1,20.1,19.9,0.21,0,0.07,5.67,0,0.28,0,0,0,0,12.5,4.04,3.55,0.99,14.3,1.42,0,0.85,14.8,0.07,0.21,0.64,0.5
413,Oriol Romeu\Oriol-Romeu,MF,Southampton,19.6,64.2,63.4,0.77,0.61,0.15,12.6,0.87,0.26,0.05,0,0.05,0,47.3,5.71,11.1,12.2,46.4,3.32,0.1,0.46,53.2,0.05,1.07,0.87,1.07
414,John Ruddy\John-Ruddy,GK,Wolves,1,24,16,8,3,0,1,1,0,0,0,0,0,16,1,7,1,13,0,0,10,19,0,2,0,0
415,Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,19,77.6,75.8,1.79,1.68,0,6.05,1.53,0.05,0,0,0,0,66,3.74,7.89,20.9,54.2,1.21,0.11,0,70.5,0.16,0.95,0.63,0.68
416,Mathew Ryan\Mathew-Ryan,GK,Brighton,11,36.3,28.6,7.64,2.36,0,4.45,1.18,0,0,0,0,0,21.6,1.36,13.3,5.18,25,0.18,0,5.09,28.5,0,1.36,0.27,0
417,Mathew Ryan\Mathew-Ryan,GK,Arsenal,3,22.3,18.3,4,1,0,0.67,0.33,0,0,0,0,0,17.3,1,4,3.33,11.7,0.67,0,6.33,20.7,0,0,0,0
418,Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,17.3,25.2,24.3,0.92,0.06,0.06,6.59,0.46,1.21,0,0,0,0,20.1,3.01,2.08,1.97,22,0.35,0.29,0.29,20.1,0.06,0.29,0.81,0.92
419,Romain Saïss\Romain-Saiss,DF,Wolves,26.7,52.8,50.1,2.7,0.94,0,4.91,1.42,0.64,0,0,0,0,35,7.68,10.2,42.3,5.13,2.55,1.76,0.07,43.3,0.07,0.94,0.97,0.94
420,Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,28.4,40.7,36.3,4.33,0.88,0.11,7.22,1.3,2.89,2.22,0.7,0.7,0.35,28,5.28,7.43,29.9,7.92,1.09,1.23,0.18,30.5,0.11,0.63,0.77,1.8
421,Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,3.1,26.5,23.2,3.23,2.9,0,3.55,0.32,0,0,0,0,0,18.4,2.58,5.48,19.4,5.16,1.29,0.32,0,23.2,0,0.32,0,0
422,Mohamed Salah\Mohamed-Salah,FW,Liverpool,34.2,37.7,36.8,0.85,0.06,0.23,6.43,0.44,1.37,0,0,0,0,30.7,3.54,3.39,29.7,6.64,0.58,0.15,0.23,31.3,0.12,0.18,1.02,1.49
423,Mohammed Salisu\Mohammed-Salisu,DF,Southampton,9.4,40,37.4,2.55,0.32,0,7.98,0.43,0.21,0,0,0,0,28.5,5.32,6.17,28.9,5.43,1.6,2.23,0.11,33,0,0.74,0.85,1.38
424,Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,16.5,59.2,57.8,1.45,1.33,0,4.42,1.03,0,0,0,0,0,47.9,3.64,7.64,6.79,48.4,2.3,0.12,0.3,51.5,0,0.61,0.67,0.67
425,Robert Sánchez\Robert-Sanchez,GK,Brighton,27,40.6,32.3,8.22,1.67,0,2.33,2.11,0,0,0,0,0,21.7,1.56,17.3,4.63,29.2,0.04,0,3.96,29,0.15,1.48,0.15,0.15
426,Morgan Sanson\Morgan-Sanson,MF,Aston Villa,3.3,48.8,46.4,2.42,0.61,0,10.3,2.12,2.42,1.82,1.21,0,0,31.8,7.88,9.09,7.27,37.3,3.03,0,0,37,0,1.21,0.91,2.73
427,Romaine Sawyers\Romaine-Sawyers,MF,West Brom,16.5,43.2,41.3,1.88,1.15,0.06,5.39,1.09,0.3,0,0,0,0,31.4,4.91,6.85,4.12,36.1,1.7,0.06,0.48,36.7,0.24,0.42,0.61,0.91
428,Dane Scarlett\Dane-Scarlett,FW,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Fabian Schär\Fabian-Schar,DF,Newcastle Utd,13.8,42.2,38.3,3.91,2.17,0.14,4.71,2.25,0.22,0,0,0,0,25.1,4.64,12.5,5.94,32,1.81,1.74,0,32.8,0.29,0.87,0.87,0.43
430,Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,15.9,27,26.1,0.88,0.19,0.06,7.8,0.38,1.7,0.06,0,0,0,18.6,3.58,4.78,18.4,4.78,1.51,0.44,0.13,19.1,0.19,0.19,0.75,1.32
431,Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,38,32.1,22.8,9.24,3.74,0,1.82,1.45,0,0,0,0,0,16,1.95,14.1,1.39,24.9,0.03,0,4.34,23.3,0.08,1.47,0.37,0.03
432,Nélson Semedo\Nelson-Semedo,DF,Wolves,33.1,57.2,46.6,10.5,0.63,0.06,7.4,0.76,1.45,0.12,0.03,0.06,0,35.1,12.7,9.4,7.64,37.6,1.45,9.76,0.12,46.6,0.12,0.73,1,2.24
433,Femi Seriki\Femi-Seriki,DF,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,5.1,40.4,36.5,3.92,0.39,0,5.88,0.59,0.39,0,0,0,0,29.4,7.84,3.14,9.02,26.1,0.78,3.53,0.2,35.7,0.2,0.59,0.2,1.18
435,Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,6.2,68.7,64.8,3.87,0.32,0.48,7.58,1.45,1.77,2.1,1.13,0.32,0.16,51.3,8.23,9.19,48.7,16.6,1.77,0.97,0.16,57.4,0.16,0.81,1.45,2.1
436,Billy Sharp\Billy-Sharp,FW,Sheffield Utd,8.2,15,13.5,1.46,0.12,0.12,3.41,0,0.85,0,0,0,0,10.1,2.32,2.56,1.71,10.7,0.49,0.12,0.61,10.5,0.24,0.37,0.37,1.1
437,Luke Shaw\Luke-Shaw,DF,Manchester Utd,29.5,68.3,54.9,13.4,1.08,0.1,8.85,2.03,3.12,3.22,1.36,1.39,0.27,45.1,11.4,11.9,53,3.56,1.73,9.08,0.1,55.8,0.27,0.54,1.56,2.41
438,Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,29.1,48.7,43.8,4.91,2.85,0.21,7.25,4.71,1.27,1.62,0.58,0.55,0.24,26.7,5.84,16.2,5.4,40.4,2.03,0.03,0.21,36,0.07,1.03,1.03,0.76
439,Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,0.1,80,80,0,0,0,20,0,0,0,0,0,0,60,20,0,10,60,0,0,0,60,0,0,0,10
440,Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,25,37.9,32.9,5,1.48,0.12,6.16,1.4,1.24,2.32,1.28,0.8,0.2,27.3,4.16,6.44,7.32,29.2,0.96,0.12,0.04,30,0.2,0.32,0.8,1
441,Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,22.9,62.3,59.3,2.97,0.61,0.04,8.43,1.14,1.18,0.96,0.09,0.22,0.09,49.3,6.77,6.2,55.5,4.19,1.14,1.05,0.13,55.9,0.22,0.48,0.7,1.22
442,Fábio Silva\Fabio-Silva,FW,Wolves,15.2,20.1,18.7,1.45,0,0,5.79,0.2,0.39,0,0,0,0,12.6,4.61,2.89,1.25,15.9,1.18,0.07,0.39,14.9,0,0.46,1.05,0.72
443,Thiago Silva\Thiago-Silva,DF,Chelsea,21.5,87,85,2,1.81,0.14,5.21,2.19,0.05,0,0,0,0,71.2,6.84,8.98,9.3,73.3,3.07,0.19,0.33,81.3,0.23,0.6,0.56,0.37
444,Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,17.6,45,42.3,2.67,0.57,0.06,4.89,1.08,0.57,0,0,0,0,33,5.45,6.59,3.81,35.7,2.39,2.1,0.28,37.8,0,0.4,1.14,0.74
445,Islam Slimani\Islam-Slimani,FW,Leicester City,0.2,55,50,5,0,0,20,0,5,0,0,0,0,25,25,5,5,40,0,0,0,40,0,0,0,0
446,William Smallbone\William-Smallbone,MF,Southampton,1.9,41.1,41.1,0,0,0,9.47,2.63,1.05,0,0,0,0,27.4,5.26,8.42,7.89,30.5,1.05,0,0.53,33.7,0,1.05,0,1.05
447,Emile Smith-Rowe\Emile-Smith-Rowe,MFFW,Arsenal,16,45.3,44.4,0.81,0.31,0.06,6.44,0.31,1.19,0,0,0,0,39.4,3.63,2.19,9.25,34.2,1.13,0.25,0.06,39.7,0.06,0.06,0.75,1.38
448,Robert Snodgrass\Robert-Snodgrass,FWDF,West Ham,0.1,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,30,0,0,0,0
449,Robert Snodgrass\Robert-Snodgrass,MFFW,West Brom,5.8,22.9,22.8,0.17,0,0,4.83,0.17,0.86,0,0,0,0,14.7,3.28,5,17.2,2.93,1.38,0,0.34,18.1,0.17,0.17,0.52,0
450,Cédric Soares\Cedric-Soares,DF,Arsenal,8.3,55.8,45.4,10.4,1.93,0,6.51,1.08,3.49,0,0,0,0,33.5,11.6,10.7,6.39,37.6,2.29,8.43,0.36,42.3,0.12,1.45,1.69,2.29
451,Tomáš Souček\Tomas-Soucek,MF,West Ham,38,40.5,39.8,0.71,0.58,0.03,9.82,1.03,0.26,0.08,0.03,0.05,0,24.4,6.03,10.1,4,28.1,3.97,0.03,0.32,31.2,0.03,0.82,0.87,0.63
452,Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,20.2,66.9,64,2.87,1.34,0,4.6,1.68,0.4,0,0,0,0,52.7,5.1,9.11,20.4,40.4,2.97,1.53,0.25,59.5,0,0.99,0.89,0.4
453,Zack Steffen\Zack-Steffen,GK,Manchester City,1,28,20,8,0,0,6,0,0,0,0,0,0,20,2,6,3,21,0,0,4,23,0,0,0,0
454,Dale Stephens\Dale-Stephens,MF,Burnley,2.9,42.8,42.4,0.34,0.34,0,7.59,0.34,0,0,0,0,0,28.6,7.93,6.21,3.45,34.5,3.1,0,0,35.5,0,0.34,0.69,0.34
455,Jack Stephens\Jack-Stephens,DF,Southampton,17.1,59.4,56.1,3.33,1.17,0.18,8.54,1.05,0,0,0,0,0,43.3,3.86,12.2,4.97,48.7,2.98,2.16,0,49.4,0.06,0.76,1.11,0.58
456,Raheem Sterling\Raheem-Sterling,FW,Manchester City,28.2,40,39.2,0.74,0.18,0.11,7.91,0.39,1.21,0.11,0.04,0,0,35.2,2.45,2.3,3.69,35,0.67,0.28,0.18,34.1,0.04,0.32,1.1,1.7
457,Enda Stevens\Enda-Stevens,DF,Sheffield Utd,30,47.6,40.7,6.83,0.3,0.17,6.2,0.87,1.83,0,0,0,0,28.5,9.07,10,35.9,2.5,1.9,6.53,0,36.9,0.43,0.87,1.07,1.27
