Player,Pos,Squad,90s,CompletedPasses,AttemptedPasses,PassCompletion,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,DeadBallPasses
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,17.3,348,436,79.8,5913,1360,4,3.3,+0.7,28,27,10,2,46,16
Romain Saïss\Romain-Saiss,DF,Wolves,26.7,1157,1411,82,25009,10518,0,0.3,-0.3,6,106,8,3,106,72
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,28.4,865,1155,74.9,13388,3443,3,4.7,-1.7,38,55,29,8,64,123
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,3.1,72,82,87.8,1518,639,0,0,0,0,2,0,0,3,10
Mohamed Salah\Mohamed-Salah,FW,Liverpool,34.2,1071,1288,83.2,16219,3877,5,6.3,-1.3,54,61,74,12,137,29
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,9.4,310,376,82.4,5129,1850,0,0,0,1,16,0,0,18,24
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,16.5,849,977,86.9,18273,4714,0,0,0,0,20,1,0,29,24
Robert Sánchez\Robert-Sanchez,GK,Brighton,27,784,1095,71.6,23930,12677,0,0,0,0,25,0,0,1,222
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,3.3,122,161,75.8,2089,516,0,0.1,-0.1,1,7,1,0,9,8
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,16.5,605,712,85,11796,3172,0,0.4,-0.4,5,57,5,2,53,31
Dane Scarlett\Dane-Scarlett,FW,Tottenham,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,13.8,453,583,77.7,10909,4622,0,0,0,1,40,12,0,39,54
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,15.9,304,429,70.9,4887,1406,3,1.7,+1.3,17,31,10,2,36,14
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,38,885,1218,72.7,27045,14438,0,0,0,0,7,0,0,0,351
Nélson Semedo\Nelson-Semedo,DF,Wolves,33.1,1541,1892,81.4,24883,7784,1,1.1,-0.1,20,93,24,14,100,348
Femi Seriki\Femi-Seriki,DF,Sheffield Utd,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,5.1,182,206,88.3,2900,627,0,0.3,-0.3,2,7,2,1,7,20
Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,6.2,356,426,83.6,6282,1550,2,3,-1,19,25,26,5,39,24
Billy Sharp\Billy-Sharp,FW,Sheffield Utd,8.2,86,123,69.9,1158,168,0,0.6,-0.6,4,2,3,0,6,12
Luke Shaw\Luke-Shaw,DF,Manchester Utd,29.5,1645,2015,81.6,25958,11037,5,5.2,-0.2,71,87,46,16,154,395
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,29.1,1047,1418,73.8,25957,7702,3,2.7,+0.3,38,132,23,5,110,143
Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,0.1,6,8,75,84,12,0,0,0,0,1,0,0,0,0
Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,25,749,947,79.1,13596,3452,5,5,0,45,52,22,5,62,125
Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,22.9,1280,1427,89.7,21634,3378,6,3.7,+2.3,32,81,32,0,72,68
Fábio Silva\Fabio-Silva,FW,Wolves,15.2,227,306,74.2,3155,438,3,0.5,+2.5,11,8,6,0,17,22
Thiago Silva\Thiago-Silva,DF,Chelsea,21.5,1749,1871,93.5,38049,11880,0,0.3,-0.3,5,113,7,0,78,43
Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,17.6,666,792,84.1,11832,2567,0,0.5,-0.5,5,50,6,2,36,47
Islam Slimani\Islam-Slimani,FW,Leicester City,0.2,8,11,72.7,108,16,0,0,0,1,0,0,0,1,1
William Smallbone\William-Smallbone,MF,Southampton,1.9,64,78,82.1,1113,243,0,0,0,0,4,1,0,5,0
Emile Smith-Rowe\Emile-Smith-Rowe,MFFW,Arsenal,16,635,724,87.7,9532,1794,4,3,+1.0,24,37,14,2,42,13
Robert Snodgrass\Robert-Snodgrass,FWDF,West Ham,0.1,3,3,100,35,13,0,0,0,0,0,0,0,0,0
Robert Snodgrass\Robert-Snodgrass,MFFW,West Brom,5.8,105,133,78.9,1699,544,0,0.3,-0.3,3,9,5,0,15,1
Cédric Soares\Cedric-Soares,DF,Arsenal,8.3,351,463,75.8,5737,2100,1,0.9,+0.1,6,29,7,2,27,86
Tomáš Souček\Tomas-Soucek,MF,West Ham,38,1184,1539,76.9,21845,5546,1,1.5,-0.5,16,102,11,2,103,27
Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,20.2,1202,1351,89,22877,6879,0,0.2,-0.2,4,74,5,3,72,58
Zack Steffen\Zack-Steffen,GK,Manchester City,1,23,28,82.1,512,236,0,0,0,0,0,0,0,0,8
Dale Stephens\Dale-Stephens,MF,Burnley,2.9,103,124,83.1,1894,528,0,0,0,0,7,3,0,12,1
Jack Stephens\Jack-Stephens,DF,Southampton,17.1,845,1016,83.2,17222,6271,0,0.5,-0.5,8,67,11,0,60,57
Raheem Sterling\Raheem-Sterling,FW,Manchester City,28.2,962,1127,85.4,12874,2421,7,4.8,+2.2,38,38,29,5,62,21
Enda Stevens\Enda-Stevens,DF,Sheffield Utd,30,1106,1427,77.5,19176,8176,1,1.6,-0.6,18,88,30,8,116,205
John Stones\John-Stones,DF,Manchester City,21.5,1615,1713,94.3,31552,7992,0,0.1,-0.1,2,113,4,0,75,24
Pascal Struijk\Pascal-Struijk,DFMF,Leeds United,23.1,1097,1259,87.1,24438,6594,0,0.2,-0.2,5,48,2,0,47,39
Japhet Tanganga\Japhet-Tanganga,DF,Tottenham,5.4,193,229,84.3,2898,1163,0,0,0,0,6,3,1,12,38
Matt Targett\Matt-Targett,DF,Aston Villa,37.8,1653,2147,77,30781,15309,2,3.1,-1.1,44,159,53,15,222,436
James Tarkowski\James-Tarkowski,DF,Burnley,36,840,1167,72,20747,7676,0,0.7,-0.7,10,69,13,2,76,37
Percy Tau\Percy-Tau,FWMF,Brighton,1.1,22,29,75.9,322,67,1,0.3,+0.7,3,1,1,0,2,2
Sidnei Tavares\Sidnei-Tavares,MF,Leicester City,0.9,19,26,73.1,309,52,0,0,0,0,0,0,0,1,1
Charlie Taylor\Charlie-Taylor,DF,Burnley,27,907,1298,69.9,16840,7035,1,1.8,-0.8,15,73,25,19,66,261
Neil Taylor\Neil-Taylor,DF,Aston Villa,0.2,10,11,90.9,120,29,0,0,0,0,0,0,0,0,1
Allan Tchaptchet\Allan-Tchaptchet,DF,Southampton,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Tella\Nathan-Tella,FWMF,Southampton,8.3,107,146,73.3,1677,313,1,0.8,+0.2,6,4,8,4,6,3
Alex Telles\Alex-Telles,DF,Manchester Utd,7.7,459,570,80.5,7690,3146,2,1.1,+0.9,12,35,14,2,50,106
Kenny Tete\Kenny-Tete,DF,Fulham,16.5,642,863,74.4,11784,4782,1,1.6,-0.6,17,35,25,19,54,124
William Thomas Fish\William-Thomas-Fish,DF,Manchester Utd,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luke Thomas\Luke-Thomas,DF,Leicester City,10.8,359,484,74.2,5636,1957,0,0.2,-0.2,5,22,7,2,28,81
Youri Tielemans\Youri-Tielemans,MF,Leicester City,37.3,2011,2559,78.6,38768,9963,4,3.3,+0.7,48,212,43,4,206,182
Kieran Tierney\Kieran-Tierney,DF,Arsenal,25.5,1136,1490,76.2,20866,6069,3,4.1,-1.1,33,56,34,14,98,226
James Tomkins\James-Tomkins,DF,Crystal Palace,6.1,129,164,78.7,2909,907,0,0.1,-0.1,1,12,0,0,4,6
Fikayo Tomori\Fikayo-Tomori,DF,Chelsea,0.5,27,29,93.1,574,161,0,0,0,0,0,0,0,0,1
Ferrán Torres\Ferran-Torres,FWMF,Manchester City,14.5,360,442,81.4,5793,1046,2,1.9,+0.1,18,16,15,2,34,19
Cenk Tosun\Cenk-Tosun,FW,Everton,0.5,8,10,80,151,14,0,0.1,-0.1,1,0,0,0,0,1
Andros Townsend\Andros-Townsend,MFFW,Crystal Palace,25.1,587,864,67.9,10358,3963,5,3.7,+1.3,39,42,40,20,75,99
Conor Townsend\Conor-Townsend,DF,West Brom,24.8,881,1176,74.9,16373,7926,2,2.1,-0.1,22,78,25,15,118,229
Adama Traoré\Adama-Traore,FW,Wolves,29.4,579,878,65.9,9468,2410,2,5.4,-3.4,56,43,26,16,63,25
Bertrand Traoré\Bertrand-Traore,FW,Aston Villa,25.7,566,796,71.1,10852,2636,6,3.2,+2.8,33,28,26,7,62,86
Trézéguet\Trezeguet,FW,Aston Villa,13,228,328,69.5,3782,1102,1,2,-1,12,22,6,3,28,2
Leandro Trossard\Leandro-Trossard,FWMF,Brighton,29,813,1085,74.9,15607,4328,5,4.3,+0.7,46,79,64,15,124,68
Kostas Tsimikas\Kostas-Tsimikas,DF,Liverpool,0.1,6,8,75,118,0,0,0,0,0,0,0,0,0,2
Axel Tuanzebe\Axel-Tuanzebe,DF,Manchester Utd,4.5,236,263,89.7,4763,1047,0,0,0,0,9,0,0,10,10
Cengiz Ünder\Cengiz-Under,MFFW,Leicester City,3.1,91,129,70.5,1556,499,2,1.8,+0.2,6,5,10,4,10,10
Yan Valery\Yan-Valery,DFMF,Southampton,1.1,53,64,82.8,883,269,0,0,0,0,0,2,1,2,17
Jamie Vardy\Jamie-Vardy,FW,Leicester City,31.6,300,452,66.4,4478,717,9,4.9,+4.1,27,13,11,0,25,34
Joël Veltman\Joel-Veltman,DF,Brighton,25.3,1152,1491,77.3,22778,9083,1,1.1,-0.1,21,96,35,13,121,241
Jannik Vestergaard\Jannik-Vestergaard,DF,Southampton,28.6,1444,1712,84.3,29904,10850,0,0.6,-0.6,7,98,9,0,73,42
Rúben Vinagre\Ruben-Vinagre,DF,Wolves,1.9,82,98,83.7,1310,324,0,0,0,0,2,1,1,2,17
Carlos Vinícius\Carlos-Vinicius,FW,Tottenham,3.4,25,44,56.8,344,57,0,0.1,-0.1,2,2,1,0,3,1
João Virgínia\Joao-Virginia,GK,Everton,0.5,9,17,52.9,310,223,0,0,0,0,0,0,0,0,4
Vitinha\Vitinha,MF,Wolves,5.8,290,329,88.1,4834,678,1,0.7,+0.3,12,21,3,0,12,15
Jake Vokins\Jake-Vokins,DF,Southampton,0.7,20,22,90.9,371,115,0,0.2,-0.2,2,0,2,1,3,7
Matěj Vydra\Matej-Vydra,FW,Burnley,15.2,193,266,72.6,2434,375,2,1.8,+0.2,14,7,9,2,13,11
Theo Walcott\Theo-Walcott,MFFW,Southampton,18,307,424,72.4,4385,925,3,1.2,+1.8,17,19,14,4,27,4
Theo Walcott\Theo-Walcott,FW,Everton,0.1,1,1,100,18,10,0,0,0,0,0,0,0,0,0
Kyle Walker\Kyle-Walker,DF,Manchester City,21.6,1695,1897,89.4,33841,8941,1,0.5,+0.5,7,193,12,2,107,179
Kyle Walker-Peters\Kyle-Walker-Peters,DF,Southampton,29.4,1295,1613,80.3,21589,7161,2,1.4,+0.6,17,59,16,2,92,324
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,Manchester Utd,34,1775,2065,86,26841,9551,4,2.4,+1.6,30,88,33,14,125,291
Joel Ward\Joel-Ward,DF,Crystal Palace,25.1,783,1078,72.6,13152,6479,1,0.4,+0.6,7,61,10,2,69,267
James Ward-Prowse\James-Ward-Prowse,MF,Southampton,38,2117,2619,80.8,37952,10063,7,4.1,+2.9,57,155,24,1,155,336
Ollie Watkins\Ollie-Watkins,FW,Aston Villa,37,606,832,72.8,8190,1449,5,4.2,+0.8,42,40,25,3,45,43
Caleb Watts\Caleb-Watts,MFFW,Southampton,0.4,8,13,61.5,161,41,0,0,0,0,0,1,1,0,0
Adam Webster\Adam-Webster,DF,Brighton,28.8,1484,1794,82.7,32506,11319,0,0.2,-0.2,6,132,7,1,110,53
