,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
500,Kyle Walker\Kyle-Walker,DF,21.6,78.5,87.8,89.4,1566.7,413.9,28.8,31,93,38.4,41.2,93.4,13.8,76.5,0.05,0.02,0.02,0.32,8.94,0.56,0.09,4.95
501,Kyle Walker-Peters\Kyle-Walker-Peters,DF,29.4,44,54.9,80.3,734.3,243.6,22.3,24.3,91.6,17.1,21.2,80.9,6.63,56.4,0.07,0.05,0.02,0.58,2.01,0.54,0.07,3.13
502,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,34,52.2,60.7,86,789.4,280.9,29.6,32.2,92.1,19.6,22.4,87.5,3.68,56.8,0.12,0.07,0.05,0.88,2.59,0.97,0.41,3.68
503,Joel Ward\Joel-Ward,DF,25.1,31.2,42.9,72.6,524,258.1,15.6,17.8,87.5,11.8,15.7,74.7,6.81,42.7,0.04,0.02,0.02,0.28,2.43,0.4,0.08,2.75
504,James Ward-Prowse\James-Ward-Prowse,MF,38,55.7,68.9,80.8,998.7,264.8,24.7,27.4,90.3,24.1,26.6,90.4,13.1,45,0.18,0.11,0.08,1.5,4.08,0.63,0.03,4.08
505,Ollie Watkins\Ollie-Watkins,FW,37,16.4,22.5,72.8,221.4,39.2,10.7,13.7,78.1,4.51,6,75.2,1,51.4,0.14,0.11,0.02,1.14,1.08,0.68,0.08,1.22
506,Caleb Watts\Caleb-Watts,MFFW,0.4,20,32.5,61.5,402.5,102.5,10,17.5,57.1,7.5,12.5,60,2.5,100,0,0,0,0,0,2.5,2.5,0
507,Adam Webster\Adam-Webster,DF,28.8,51.5,62.3,82.7,1128.7,393,14.1,16.3,86.8,27.7,30.9,89.9,13.9,67.3,0,0.01,-0.01,0.21,4.58,0.24,0.03,3.82
508,Danny Welbeck\Danny-Welbeck,FW,17.2,12.7,15.6,81.7,172.2,35.1,8.2,9.65,84.9,3.26,3.66,88.9,0.93,75,0.06,0.13,-0.07,1.28,0.76,0.35,0.06,1.22
509,Timo Werner\Timo-Werner,FW,28.9,22.1,28.6,77.2,332.5,65.5,12.1,14.8,81.4,8.3,9.65,86,1.83,50.9,0.28,0.21,0.07,1.18,1.07,0.8,0.21,1.94
