,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Rk,Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,33.7,96.7,2.37,23,43.7,35.8,2.55,82,1.13,1.99,56.7,1.22,0.12,61.1,262.6,156.1,6.41,2.14,0.74,0.5,0.62,68,64.1,94.2,3.53
16,Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,27.3,70.7,2.89,22.1,33.7,20.1,1.68,61.8,0.55,0.92,60,0.59,0.26,39.8,215.2,138.8,5.09,1.94,0.15,0.88,0.77,48.2,43.4,89.9,2.6
17,Alisson\Alisson,GK,Liverpool,33,37.2,29.4,37,0.3,0.03,0.03,30.1,0.09,0.09,100,0.09,0,19.4,69.4,38.6,0,0,0,0,0,19.9,19.8,99.7,0
18,Allan\Allan,MF,Everton,22.8,56.2,3.25,18.1,36.3,6.62,0.13,54.8,1.23,1.89,65.1,1.27,0.04,35.5,217.1,128.7,4.21,1.4,0.09,0.61,0.96,38.2,36.6,95.9,0.75
19,Dele Alli\Dele-Alli,MF,Tottenham,6.9,63.3,1.59,10.6,37.2,20.7,3.33,60.7,1.45,3.19,45.5,1.74,0.43,43.6,217.2,106.1,4.78,2.32,0.58,1.3,2.61,58,43.8,75.5,6.09
20,Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,27,43.6,1.48,9.7,20.3,18.4,1.89,42.4,1.33,2.37,56.3,1.37,0.11,33.6,227,121.2,4.67,2.11,0.41,1.52,1.59,38.7,29.5,76.2,3.89
21,Marcos Alonso\Marcos-Alonso,DF,Chelsea,10.7,68.1,3.36,18.7,29,25.2,4.3,59.7,0.65,1.31,50,0.65,0,40.6,199.1,119.2,5.89,1.78,0.84,0.37,1.31,49.3,42.3,86,4.11
22,Steven Alzate\Steven-Alzate,MFDF,Brighton,10,53.6,1.9,11.6,28.8,16.7,1.6,52.3,0.8,1.3,61.5,0.9,0,39.7,197.8,103,4.9,1.4,0.4,1.1,1.4,44.4,39.7,89.4,2.2
23,Daniel Amartey\Daniel-Amartey,DF,Leicester City,8,70.3,8.5,38.3,31.3,4.75,0.88,66.3,0.13,0.63,20,0.13,0,42,166.1,91.5,1.63,0.63,0,0.5,0.38,45,42.9,95.3,0.13
24,Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,23.2,58.4,6.47,23.4,29.5,9.66,0.39,54.9,0.39,0.56,69.2,0.43,0,31.2,197.3,118,4.22,1.51,0,0.6,0.3,34.3,32.9,96.1,0.39
